t_s,pos_deg,vel_rps,tau_cmd,rotor_phase,e1_deg,fault
0.0015,0.0,3.6033861761097796e-06,-1.183,0.2571,203.443,0
0.0031,0.0,3.6033861761097796e-06,-1.183,0.2571,203.444,0
0.0056,0.0,3.6033861761097796e-06,-1.183,0.2571,203.434,0
0.0072,0.0,3.6033861761097796e-06,-1.183,0.2571,203.445,0
0.0088,0.0,3.6033861761097796e-06,-1.183,0.2571,203.405,0
0.0102,0.0,3.6033861761097796e-06,-1.183,0.2571,203.434,0
0.0115,0.0,3.6033861761097796e-06,-1.183,0.2571,203.435,0
0.0128,0.0,3.6033861761097796e-06,-1.183,0.2571,203.421,0
0.0142,0.0,3.6033861761097796e-06,-1.183,0.2571,203.426,0
0.0154,0.0,3.6033861761097796e-06,-1.183,0.2571,203.428,0
0.0167,0.0,3.6033861761097796e-06,-1.183,0.2571,203.416,0
0.0179,0.0,3.6033861761097796e-06,-1.183,0.2571,203.442,0
0.0192,0.0,3.6033861761097796e-06,-1.183,0.2571,203.429,0
0.0205,0.0,3.6033861761097796e-06,-1.183,0.2571,203.438,0
0.0219,0.0,3.6033861761097796e-06,-1.183,0.2571,203.449,0
0.0232,0.0,3.6033861761097796e-06,-1.183,0.2571,203.431,0
0.0245,0.0,-0.00019069235713686794,-1.238,0.2571,203.435,0
0.0258,0.0,-0.00034887142828665674,-1.284,0.2571,203.399,0
0.027,0.0,-0.00040965774678625166,-1.301,0.2571,203.444,0
0.0282,0.0,-0.0003393832012079656,-1.281,0.2571,203.433,0
0.0295,0.0,-0.00024021526041906327,-1.253,0.2571,203.444,0
0.0307,0.0,-0.00016369673539884388,-1.231,0.2571,203.441,0
0.032,0.0,-0.00010382867185398936,-1.213,0.2571,203.426,0
0.0332,0.0,-6.63652244838886e-05,-1.203,0.2571,203.429,0
0.0345,0.0,-4.1818097088253126e-05,-1.196,0.2571,203.461,0
0.0358,0.0,-2.4984034098451957e-05,-1.191,0.2571,203.441,0
0.0373,0.0,-1.3659297110280022e-05,-1.188,0.2571,203.407,0
0.0385,0.0,-7.660246410523541e-06,-1.186,0.2571,203.406,0
0.0397,0.0,-4.354647899162956e-06,-1.185,0.2571,203.428,0
0.041,0.0,-1.6611963928880868e-06,-1.184,0.2571,203.449,0
0.0423,0.0,1.1403280808508498e-07,-1.184,0.2571,203.437,0
0.0435,0.0,1.5219733313642791e-06,-1.183,0.2571,203.445,0
0.0447,0.0,2.2565509425476193e-06,-1.183,0.2571,203.424,0
0.046,0.0,2.99112753054942e-06,-1.183,0.2571,203.434,0
0.0473,0.0,3.603274080887786e-06,-1.183,0.2571,203.434,0
0.0485,0.0,3.603274080887786e-06,-1.183,0.2571,203.425,0
0.0496,0.0,3.603274080887786e-06,-1.183,0.2571,203.409,0
0.0509,0.0,3.603274080887786e-06,-1.183,0.2571,203.431,0
0.0523,0.0,3.603274080887786e-06,-1.183,0.2571,203.44,0
0.0535,0.0,3.603274080887786e-06,-1.183,0.2571,203.432,0
0.0548,0.0,3.603274080887786e-06,-1.183,0.2571,203.45,0
0.0561,0.0,3.603274080887786e-06,-1.183,0.2571,203.436,0
0.0573,0.0,3.603274080887786e-06,-1.183,0.2571,203.424,0
0.0585,0.0,3.603274080887786e-06,-1.183,0.2571,203.439,0
