t_s,phase,torque_step_Nm,mode,velocity_rps_out,orbis_unwrapped_output_rev,q_current_A,bus_voltage_V,fet_temp_C,fault,bissc_crc_delta
0.0,escalate,9.0,0,-1.3127255442668684e-05,0.0,-0.4928450584411621,24.0,32.0,0,0.0
0.0198,escalate,9.0,10,-1.3127255442668684e-05,0.0,-0.02569686993956566,24.0,32.0,0,0.0
0.0212,escalate,9.0,10,-1.3127255442668684e-05,0.0,-0.05139373987913132,24.0,32.0,0,0.0
0.0313,escalate,9.0,10,-1.3127255442668684e-05,0.0,-0.0023007395211607218,24.0,32.0,0,0.0
0.041,escalate,9.0,10,-1.3127255442668684e-05,0.0,0.02799760363996029,24.0,32.0,0,0.0
0.051,escalate,9.0,10,-0.00021578905580099672,-1e-06,-0.0018984128255397081,24.0,32.0,0,0.0
0.061,escalate,9.0,10,-1.2494712791522034e-05,-1e-06,-0.027732938528060913,24.0,32.0,0,0.0
0.071,escalate,9.0,10,1.3684805708180647e-05,-1e-06,-0.10740223526954651,24.0,32.0,0,0.0
0.0809,escalate,9.0,10,1.548043655930087e-05,-1e-06,0.001776672899723053,24.0,32.0,0,0.0
0.091,escalate,9.0,10,1.548043655930087e-05,-1e-06,-0.027738889679312706,24.0,32.0,0,0.0
0.101,escalate,9.0,10,1.548043655930087e-05,-1e-06,0.07966333627700806,24.0,32.0,0,0.0
0.1112,escalate,9.0,10,1.548043655930087e-05,-1e-06,0.053701113909482956,24.0,32.0,0,0.0
0.121,escalate,9.0,10,1.548043655930087e-05,-1e-06,0.08144000917673111,24.0,32.0,0,0.0
0.1304,escalate,9.0,10,1.548043655930087e-05,-1e-06,0.053701113909482956,24.0,32.0,0,0.0
0.141,escalate,9.0,10,1.548043655930087e-05,-1e-06,0.15932665765285492,24.0,32.0,0,0.0
0.151,escalate,9.0,10,2.5458519303356297e-05,0.0,0.07938230782747269,24.0,32.0,0,0.0
0.161,escalate,9.0,10,-0.0001943842216860503,-1e-06,0.0,24.0,32.0,0,0.0
0.171,escalate,9.0,10,-1.582067670824472e-05,-1e-06,0.13337115943431854,24.0,32.0,0,0.0
0.181,escalate,9.0,10,1.3093102097627707e-05,-1e-06,-0.07966367900371552,24.0,32.0,0,0.0
0.191,escalate,9.0,10,1.3093102097627707e-05,-1e-06,0.053701113909482956,24.0,32.0,0,0.0
