t_s,pos_deg,vel_rps,tau_cmd,rotor_phase,fault
0.0011,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0023,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0037,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0047,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0057,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0067,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0077,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0087,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0096,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0106,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0116,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0126,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0136,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0146,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0156,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0165,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0175,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0186,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0196,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0207,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0218,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0228,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0239,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0249,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0258,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.027,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0281,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0291,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0301,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.031,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0321,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.033,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.034,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.035,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.036,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.037,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.038,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0391,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0401,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0411,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0421,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0431,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0442,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0451,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0461,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0471,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0481,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0491,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0501,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0511,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0521,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0531,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.054,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.055,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.056,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.057,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.058,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0589,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0599,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0609,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0619,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0629,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0639,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0649,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0659,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0669,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0679,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.069,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.07,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.071,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.072,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0729,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.074,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0749,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0759,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0769,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0779,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0789,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0799,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.081,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0819,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0829,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0839,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.085,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.086,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0869,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0879,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0889,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0899,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0909,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0919,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.093,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0939,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.095,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.096,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.097,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0979,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0989,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.0999,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.1009,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.1019,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.1029,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.1039,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.1049,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.1059,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.107,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.108,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.109,0.0,-3.557323907443788e-06,-0.001,0.2786,0
0.11,0.0,-3.557323907443788e-06,-0.001,0.2786,0
