t_s,phase,torque_step_Nm,mode,velocity_rps_out,orbis_unwrapped_output_rev,q_current_A,bus_voltage_V,fet_temp_C,fault,bissc_crc_delta
0.0,escalate,1.0,0,5.080663640910643e-07,0.0,0.14136338233947754,24.0,33.0,0,0.0
0.0178,escalate,1.0,10,5.080663640910643e-07,0.0,0.011323320679366589,24.0,33.0,0,0.0
0.0202,escalate,1.0,10,5.080663640910643e-07,0.0,0.1194237768650055,24.0,33.0,0,0.0
0.031,escalate,1.0,10,5.080663640910643e-07,0.0,0.011323317885398865,24.0,33.0,0,0.0
0.0411,escalate,1.0,10,5.080663640910643e-07,0.0,0.07961586117744446,24.0,33.0,0,0.0
0.051,escalate,1.0,10,5.080663640910643e-07,0.0,-9.064838879524473e-10,24.0,33.0,0,0.0
0.061,escalate,1.0,10,5.080663640910643e-07,0.0,0.03980793058872223,24.0,33.0,0,0.0
0.071,escalate,1.0,10,5.080663640910643e-07,0.0,-0.03980793058872223,24.0,33.0,0,0.0
0.081,escalate,1.0,10,5.080663640910643e-07,0.0,-0.011323320679366589,24.0,33.0,0,0.0
0.091,escalate,1.0,10,5.080663640910643e-07,0.0,-0.03980793058872223,24.0,33.0,0,0.0
0.1011,escalate,1.0,10,5.080663640910643e-07,0.0,-1.8129677759048946e-09,24.0,33.0,0,0.0
0.1106,escalate,1.0,10,5.080663640910643e-07,0.0,0.07961586117744446,24.0,33.0,0,0.0
0.1208,escalate,1.0,10,5.080663640910643e-07,0.0,0.011323317885398865,24.0,33.0,0,0.0
0.1304,escalate,1.0,10,5.080663640910643e-07,0.0,-0.09093917906284332,24.0,33.0,0,0.0
0.1404,escalate,1.0,10,5.080663640910643e-07,0.0,0.0171612948179245,24.0,33.0,0,0.0
0.1506,escalate,1.0,10,5.080663640910643e-07,0.0,-0.06245456263422966,24.0,33.0,0,0.0
0.1611,escalate,1.0,10,5.080663640910643e-07,0.0,0.028484610840678215,24.0,33.0,0,0.0
0.171,escalate,1.0,10,5.080663640910643e-07,0.0,0.028484610840678215,24.0,33.0,0,0.0
0.181,escalate,1.0,10,5.080663640910643e-07,0.0,-0.03980793058872223,24.0,33.0,0,0.0
0.191,escalate,1.0,10,5.080663640910643e-07,0.0,0.011323319748044014,24.0,33.0,0,0.0
0.201,escalate,1.0,10,5.080663640910643e-07,0.0,-0.10226249694824219,24.0,33.0,0,0.0
0.2209,escalate,1.0,10,5.080663640910643e-07,0.0,0.011323317885398865,24.0,33.0,0,0.0
0.2224,escalate,1.0,10,5.080663640910643e-07,0.0,0.09093917906284332,24.0,33.0,0,0.0
0.2307,escalate,1.0,10,5.080663640910643e-07,0.0,0.028484612703323364,24.0,33.0,0,0.0
0.241,escalate,1.0,10,5.080663640910643e-07,0.0,0.011323316022753716,24.0,33.0,0,0.0
0.2508,escalate,1.0,10,5.080663640910643e-07,0.0,-0.11358581483364105,24.0,33.0,0,0.0
0.2611,escalate,1.0,10,5.080663640910643e-07,0.0,-0.051131248474121094,24.0,33.0,0,0.0
0.271,escalate,1.0,10,5.080663640910643e-07,0.0,-0.03980793058872223,24.0,33.0,0,0.0
0.281,escalate,1.0,10,5.080663640910643e-07,0.0,0.13074710965156555,24.0,33.0,0,0.0
0.2903,escalate,1.0,10,5.080663640910643e-07,0.0,0.03980793058872223,24.0,33.0,0,0.0
0.3011,escalate,1.0,10,5.080663640910643e-07,0.0,0.051131248474121094,24.0,33.0,0,0.0
0.311,escalate,1.0,10,5.080663640910643e-07,0.0,0.0682925432920456,24.0,33.0,0,0.0
0.3211,escalate,1.0,10,5.080663640910643e-07,0.0,-0.03980793058872223,24.0,33.0,0,0.0
0.3302,escalate,1.0,10,5.080663640910643e-07,0.0,0.15339374542236328,24.0,33.0,0,0.0
0.3405,escalate,1.0,10,5.080663640910643e-07,0.0,-0.06245456635951996,24.0,33.0,0,0.0
0.3511,escalate,1.0,10,5.080663640910643e-07,0.0,0.11358581483364105,24.0,33.0,0,0.0
0.361,escalate,1.0,10,5.080663640910643e-07,0.0,0.03980793058872223,24.0,33.0,0,0.0
0.371,escalate,1.0,10,5.080663640910643e-07,0.0,0.0171612910926342,24.0,33.0,0,0.0
0.381,escalate,1.0,10,5.080663640910643e-07,0.0,-0.03980793058872223,24.0,33.0,0,0.0
0.3911,escalate,1.0,10,5.080663640910643e-07,0.0,-9.064838879524473e-10,24.0,33.0,0,0.0
0.401,escalate,1.0,10,5.080663640910643e-07,0.0,0.03980793058872223,24.0,33.0,0,0.0
0.411,escalate,1.0,10,5.080663640910643e-07,0.0,1.2657658032821928e-08,24.0,33.0,0,0.0
0.4299,escalate,1.0,10,5.080663640910643e-07,0.0,0.21584831178188324,24.0,33.0,0,0.0
0.4313,escalate,1.0,10,5.080663640910643e-07,0.0,0.07961586117744446,24.0,33.0,0,0.0
0.441,escalate,1.0,10,5.080663640910643e-07,0.0,0.09093917906284332,24.0,33.0,0,0.0
0.451,escalate,1.0,10,5.080663640910643e-07,0.0,-0.03980793058872223,24.0,33.0,0,0.0
0.4605,escalate,1.0,10,5.080663640910643e-07,0.0,0.22168628871440887,24.0,33.0,0,0.0
0.4711,escalate,1.0,10,5.080663640910643e-07,0.0,0.028484612703323364,24.0,33.0,0,0.0
0.481,escalate,1.0,10,5.080663640910643e-07,0.0,0.03980793058872223,24.0,33.0,0,0.0
0.491,escalate,1.0,10,5.080663640910643e-07,0.0,-9.064838879524473e-10,24.0,33.0,0,0.0
0.501,escalate,1.0,10,5.080663640910643e-07,0.0,0.3977266550064087,24.0,33.0,0,0.0
0.5108,escalate,1.0,10,5.080663640910643e-07,0.0,0.09093917906284332,24.0,33.0,0,0.0
0.521,escalate,1.0,10,5.080663640910643e-07,0.0,0.10226249694824219,24.0,33.0,0,0.0
0.531,escalate,1.0,10,5.080663640910643e-07,0.0,0.15339374542236328,24.0,33.0,0,0.0
0.541,escalate,1.0,10,5.080663640910643e-07,0.0,0.028484610840678215,24.0,33.0,0,0.0
0.551,escalate,1.0,10,5.080663640910643e-07,0.0,0.10226249694824219,24.0,33.0,0,0.0
0.561,escalate,1.0,10,5.080663640910643e-07,0.0,0.1932016909122467,24.0,33.0,0,0.0
0.571,escalate,1.0,10,5.080663640910643e-07,0.0,0.09093917906284332,24.0,33.0,0,0.0
0.581,escalate,1.0,10,5.080663640910643e-07,0.0,0.12490913271903992,24.0,33.0,0,0.0
