t_s,pos_deg,vel_rps,tau_cmd,rotor_phase,e1_deg,fault
0.0013,0.0,3.5942405247624265e-06,-1.119,0.287,0.0,0
0.0026,0.0,3.5942405247624265e-06,-0.978,0.287,0.0,0
0.0037,0.0,3.5942405247624265e-06,-0.851,0.287,0.0,0
0.0055,0.0,3.5942405247624265e-06,-0.663,0.287,0.0,0
0.0067,0.0,3.5942405247624265e-06,-0.54,0.287,0.0,0
0.0079,0.0,0.000197828805539757,-0.368,0.287,0.0,0
0.0092,0.0,0.00023021144443191588,-0.244,0.287,0.0,0
0.0105,0.005,0.00019011576659977436,-0.149,0.2877,0.0,0
0.0118,0.005,0.0001344102929579094,-0.07,0.2877,0.0,0
0.0129,0.005,9.162115748040378e-05,-0.002,0.2877,0.0,0
0.0141,0.005,6.015675171511248e-05,0.061,0.2877,0.0,0
0.0153,0.0,3.775213554035872e-05,0.117,0.287,0.0,0
0.0169,0.0,2.2509651898872107e-05,0.173,0.287,0.0,0
0.0181,0.0,1.1980708222836256e-05,0.205,0.287,0.0,0
0.0194,0.0,7.3895980676752515e-06,0.227,0.287,0.0,0
0.0206,0.0,3.900354386132676e-06,0.235,0.287,0.0,0
0.0219,0.0,1.51297717820853e-06,0.229,0.287,0.0,0
0.0232,0.0,-7.860762707423419e-08,0.21,0.287,0.0,0
0.0246,0.0,-1.6089777545857942e-06,0.174,0.287,0.0,0
0.0258,0.0,-2.465985062372056e-06,0.13,0.287,0.0,0
0.027,0.0,-3.139346290481626e-06,0.073,0.287,0.0,0
0.0282,0.0,-3.567849034880055e-06,0.007,0.287,0.0,0
0.0294,0.0,-3.567849034880055e-06,-0.071,0.287,0.0,0
0.0307,0.0,-3.567849034880055e-06,-0.166,0.287,0.0,0
0.0321,0.0,-3.567849034880055e-06,-0.274,0.287,0.0,0
0.0334,0.0,-3.567849034880055e-06,-0.39,0.287,0.0,0
0.0347,0.0,-3.567849034880055e-06,-0.511,0.287,0.0,0
0.0359,0.0,-3.567849034880055e-06,-0.639,0.287,0.0,0
0.0372,0.0,-3.567849034880055e-06,-0.769,0.287,0.0,0
0.0384,0.0,-3.567849034880055e-06,-0.905,0.287,0.0,0
0.0397,0.0,-3.567849034880055e-06,-1.043,0.287,0.0,0
0.041,0.0,-3.567849034880055e-06,-1.188,0.287,0.0,0
0.0424,0.0,-3.567849034880055e-06,-1.352,0.287,0.0,0
0.0437,0.0,-3.567849034880055e-06,-1.494,0.287,0.0,0
0.0449,0.0,-3.567849034880055e-06,-1.632,0.287,0.0,0
0.0462,0.0,-3.567849034880055e-06,-1.771,0.287,0.0,0
0.0475,0.0,-3.567849034880055e-06,-1.907,0.287,0.0,0
0.0488,0.0,-3.567849034880055e-06,-2.031,0.287,0.0,0
0.0499,0.0,-3.567849034880055e-06,-2.144,0.287,0.0,0
0.0512,0.0,-3.567849034880055e-06,-2.255,0.287,0.0,0
0.0526,0.0,-3.567849034880055e-06,-2.365,0.287,0.0,0
0.0537,0.0,-3.567849034880055e-06,-2.452,0.287,0.0,0
0.0549,0.0,-0.00019780240836553276,-2.58,0.287,0.0,0
0.0562,0.0,-0.00022834861010778695,-2.662,0.287,0.0,0
0.0576,0.0,-0.00018580433970782906,-2.714,0.287,0.0,0
0.0588,0.0,-0.00012648719712160528,-2.742,0.287,0.0,0
0.0601,0.0,-8.571814396418631e-05,-2.764,0.287,0.0,0
0.0614,0.0,-0.00018053986423183233,-2.808,0.287,0.0,0
0.0626,0.0,-0.0002617106947582215,-2.834,0.287,0.0,0
0.0638,0.0,-0.0002240635803900659,-2.817,0.287,0.0,0
0.0651,0.0,-0.0003751416807062924,-2.835,0.287,0.0,0
0.0664,0.0,-0.0003309445455670357,-2.789,0.287,0.0,0
0.0676,0.0,-0.0004206241574138403,-2.766,0.287,0.0,0
0.0688,0.0,-0.00040121900383383036,-2.704,0.287,0.0,0
0.0701,0.0,-0.00030235713347792625,-2.603,0.287,0.0,0
0.0716,0.0,-0.00019884288485627621,-2.481,0.287,0.0,0
0.0729,0.0,-0.00012801734555978328,-2.361,0.287,0.0,0
0.0743,0.0,-7.42707634344697e-05,-2.228,0.287,0.0,0
0.0756,0.0,-4.513252497417852e-05,-2.101,0.287,0.0,0
0.0769,0.0,-2.707416206249036e-05,-1.973,0.287,0.0,0
0.0782,0.0,-1.6239142496488057e-05,-1.841,0.287,0.0,0
0.0795,0.0,-9.444300303584896e-06,-1.699,0.287,0.0,0
0.0808,0.0,-5.34291029907763e-06,-1.553,0.287,0.0,0
0.0821,0.0,-2.2209551389096305e-06,-1.406,0.287,0.0,0
0.0833,0.0,-3.8451099726444227e-07,-1.269,0.287,0.0,0
0.0846,0.0,1.0846441682588193e-06,-1.127,0.287,0.0,0
0.0858,0.0,2.0640811726480024e-06,-0.989,0.287,0.0,0
0.087,0.0,2.7986579880234785e-06,-0.851,0.287,0.0,0
0.0883,0.0,6.297280197031796e-05,-0.705,0.287,0.0,0
0.0896,0.0,0.00022708968026563525,-0.521,0.287,0.0,0
0.0909,0.0,0.00041287660133093596,-0.345,0.287,0.0,0
0.0925,0.0,0.0003574771399144083,-0.214,0.287,0.0,0
0.0938,0.0,0.00026449188590049744,-0.131,0.287,0.0,0
0.0951,0.0,0.0001764038170222193,-0.06,0.287,0.0,0
0.0964,0.0,0.00011280163016635925,0.012,0.287,0.0,0
0.0977,0.0,0.00046405213652178645,0.18,0.287,0.0,0
0.099,0.005,0.0004907418042421341,0.247,0.2877,0.0,0
0.1003,0.005,0.0003805551677942276,0.268,0.2877,0.0,0
0.1015,0.005,0.000262288172962144,0.27,0.2877,0.0,0
0.1027,0.005,0.0003269309818278998,0.309,0.2877,0.0,0
0.1039,0.005,0.0005678111920133233,0.38,0.2877,0.0,0
0.1051,0.005,0.0007270920323207974,0.418,0.2877,0.0,0
0.1064,0.005,0.0007510270224884152,0.408,0.2877,0.0,0
0.1075,0.005,0.0006737127550877631,0.36,0.2877,0.0,0
0.1088,0.005,0.0006928117945790291,0.323,0.2877,0.0,0
0.11,0.005,0.0005830536829307675,0.244,0.2877,0.0,0
0.1112,0.005,0.0007856133161112666,0.23,0.2877,0.0,0
0.1125,0.005,0.0009418947156518698,0.189,0.2877,0.0,0
0.1138,0.005,0.0007740437868051231,0.058,0.2877,0.0,0
0.115,0.005,0.0005624854820780456,-0.093,0.2877,0.0,0
