t_s,pos_deg,vel_rps,tau_cmd,rotor_phase,e1_deg,fault
0.0014,0.0,-7.024355568319152e-07,-0.705,0.2098,203.775,0
0.0029,0.0,-7.024355568319152e-07,-0.535,0.2098,203.766,0
0.0056,0.0,-7.024355568319152e-07,-0.248,0.2098,203.752,0
0.007,0.0,-7.024355568319152e-07,-0.108,0.2098,203.777,0
0.0084,0.0,-7.024355568319152e-07,0.024,0.2098,203.759,0
0.0097,0.0,-7.024355568319152e-07,0.141,0.2098,203.772,0
0.0113,0.0,-7.024355568319152e-07,0.265,0.2098,203.776,0
0.0127,0.0,-7.024355568319152e-07,0.362,0.2098,203.75,0
0.014,0.0,-7.024355568319152e-07,0.441,0.2098,203.791,0
0.0153,0.0,-7.024355568319152e-07,0.511,0.2098,203.774,0
0.0166,0.0,-7.024355568319152e-07,0.561,0.2098,203.799,0
0.0178,0.0,-7.024355568319152e-07,0.599,0.2098,203.75,0
0.0191,0.0,-7.024355568319152e-07,0.624,0.2098,203.809,0
0.0204,0.0,-7.024355568319152e-07,0.637,0.2098,203.785,0
0.0216,0.0,-7.024355568319152e-07,0.635,0.2098,203.747,0
0.0229,0.0,-7.024355568319152e-07,0.619,0.2098,203.763,0
0.0243,0.0,-7.024355568319152e-07,0.587,0.2098,203.753,0
0.0256,0.0,-7.024355568319152e-07,0.542,0.2098,203.792,0
0.0269,0.0,-7.024355568319152e-07,0.481,0.2098,203.769,0
0.0282,0.0,-7.024355568319152e-07,0.412,0.2098,203.804,0
0.0295,0.0,-7.024355568319152e-07,0.326,0.2098,203.761,0
0.0309,0.0,-7.024355568319152e-07,0.229,0.2098,203.78,0
0.0321,0.0,-7.024355568319152e-07,0.128,0.2098,203.725,0
0.0333,0.0,-7.024355568319152e-07,0.022,0.2098,203.758,0
0.0347,0.0,-7.024355568319152e-07,-0.106,0.2098,203.771,0
0.0359,0.0,-7.024355568319152e-07,-0.232,0.2098,203.747,0
0.0372,0.0,-7.024355568319152e-07,-0.362,0.2098,203.763,0
0.0384,0.0,0.00021458999253809452,-0.431,0.2098,203.769,0
0.0397,0.0,0.00021985448256600648,-0.567,0.2098,203.783,0
0.0409,0.0,0.0001702705048955977,-0.725,0.2098,203.754,0
0.0422,0.0,0.0001211150229210034,-0.889,0.2098,203.768,0
0.0436,0.0,7.875437586335465e-05,-1.05,0.2098,203.752,0
0.0449,0.0,4.765726043842733e-05,-1.207,0.2098,203.754,0
0.0464,0.0,2.9292821636772715e-05,-1.375,0.2098,203.783,0
0.0478,0.0,-0.00018630569684319198,-1.589,0.2098,203.762,0
0.0491,0.0,-0.0002113424998242408,-1.726,0.2098,203.738,0
0.0504,0.0,-0.00016947156109381467,-1.834,0.2098,203.792,0
0.0518,0.0,-0.00011437822104198858,-1.934,0.2098,203.754,0
0.0531,0.0,-0.00023142091231420636,-2.077,0.2098,203.781,0
0.0544,0.0,-0.0003057969151996076,-2.189,0.2098,203.765,0
0.0556,0.0,-0.0004398572782520205,-2.305,0.2098,203.758,0
0.0569,0.0,-0.00037631631130352616,-2.349,0.2098,203.749,0
0.0581,0.0,-0.00027867869357578456,-2.368,0.2098,203.762,0
0.0593,0.0,-0.00035158556420356035,-2.429,0.2098,203.786,0
0.0606,0.0,-0.00035685001057572663,-2.459,0.2098,203.78,0
0.0618,0.0,-0.0002753731096163392,-2.447,0.2098,203.8,0
0.0631,0.0,-0.00019548780983313918,-2.422,0.2098,203.767,0
0.0644,0.0,-0.0003594821901060641,-2.46,0.2098,203.782,0
0.0657,0.0,-0.0005321691860444844,-2.487,0.2098,203.763,0
0.067,0.0,-0.00044854977750219405,-2.417,0.2098,203.75,0
0.0683,0.0,-0.0003111838595941663,-2.317,0.2098,203.781,0
0.0696,0.0,-0.00020503740233834833,-2.217,0.2098,203.778,0
0.0709,0.0,-0.00013445675722323358,-2.114,0.2098,203.794,0
0.0722,0.0,-8.309753320645541e-05,-2.005,0.2098,203.744,0
0.0735,0.0,-5.0408834795234725e-05,-1.89,0.2098,203.79,0
0.0748,0.0,-3.033038228750229e-05,-1.771,0.2098,203.74,0
0.0761,0.0,-1.7903777916217223e-05,-1.643,0.2098,203.752,0
0.0774,0.0,-1.0068284609587863e-05,-1.514,0.2098,203.758,0
0.0787,0.0,-5.966894150333246e-06,-1.382,0.2098,203.753,0
0.0799,0.0,-3.518302264637896e-06,-1.248,0.2098,203.779,0
0.0812,0.0,-2.04914681489754e-06,-1.105,0.2098,203.761,0
0.0825,0.0,-8.860653792908124e-07,-0.961,0.2098,203.798,0
0.0838,0.0,-1.5148766863148921e-07,-0.809,0.2098,203.752,0
0.0851,0.0,7.055195396787894e-07,-0.66,0.2098,203.784,0
0.0864,0.0,7.055195396787894e-07,-0.517,0.2098,203.764,0
0.0877,0.0,7.055195396787894e-07,-0.379,0.2098,203.769,0
0.0889,0.0,7.055195396787894e-07,-0.25,0.2098,203.747,0
0.0902,0.0,8.524315489921719e-05,-0.094,0.2098,203.768,0
0.0915,0.0,0.00022720027482137084,0.076,0.2098,203.781,0
0.0927,0.0,0.0003349995531607419,0.22,0.2098,203.764,0
0.094,0.0,0.00038660361315123737,0.339,0.2098,203.789,0
0.0953,0.0,0.00031130941351875663,0.412,0.2098,203.757,0
0.0966,0.0,0.00022499662009067833,0.473,0.2098,203.752,0
0.0979,0.0,0.0003274089831393212,0.578,0.2098,203.733,0
0.0992,0.0,0.00031743093859404325,0.634,0.2098,203.779,0
0.1006,0.0,0.000433616602094844,0.721,0.2098,203.752,0
0.1019,0.0,0.0003808494657278061,0.735,0.2098,203.78,0
0.1032,0.0,0.0002843136608134955,0.723,0.2098,203.775,0
0.1045,0.0,0.00019065503147430718,0.697,0.2098,203.805,0
0.1058,0.0,0.00012191080895718187,0.665,0.2098,203.772,0
0.1071,0.0,7.56936424295418e-05,0.625,0.2098,203.743,0
0.1084,0.0,4.61268937215209e-05,0.577,0.2098,203.766,0
0.1096,0.0,0.00011236129648750648,0.547,0.2098,203.786,0
0.1109,0.0,0.00024287120322696865,0.526,0.2098,203.776,0
0.1122,0.0,0.00022150723088998348,0.44,0.2098,203.738,0
0.1135,0.0,0.0001640265400055796,0.331,0.2098,203.799,0
0.1148,0.0,0.00010697435209294781,0.211,0.2098,203.752,0
0.1161,0.0,6.834781379438937e-05,0.094,0.2098,203.771,0
0.1174,0.0,4.4106756831752136e-05,-0.035,0.2098,203.797,0
0.1187,0.0,2.696661431400571e-05,-0.167,0.2098,203.751,0
0.12,0.0,1.6192812836379744e-05,-0.306,0.2098,203.736,0
0.1216,0.0,8.41853216115851e-06,-0.483,0.2098,203.799,0
0.1229,0.0,4.990503384760814e-06,-0.619,0.2098,203.747,0
0.1241,0.0,3.1540600957669085e-06,-0.755,0.2098,203.781,0
0.1253,0.0,1.5624749494236312e-06,-0.899,0.2098,203.756,0
