t_s,K,D,phase,theta_d,theta,omega,tau_cmd,tau_meas,q_current_A,fet,fault
-1.0,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,0.0,-0.893976628780365,34.0,0
-0.9984,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,0.0,-0.8823697566986084,34.0,0
-0.9969,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,0.0,0.17004838585853577,34.0,0
-0.9938,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,0.0,-0.11882749199867249,34.0,0
-0.9924,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,0.0,-0.11882748454809189,34.0,0
-0.9912,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,0.0,-7.541419710932473e-10,34.0,0
-0.99,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,0.0,0.05122089013457298,34.0,0
-0.9886,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,0.0,0.10244178026914597,34.0,0
-0.9872,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,0.0,0.06283262372016907,34.0,0
-0.9857,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,0.6420820355415344,0.12566524744033813,34.0,0
-0.9841,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,0.4047631621360779,0.07921832799911499,34.0,0
-0.9827,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,-0.4047631621360779,0.011611728928983212,34.0,0
-0.9812,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,0.3210409879684448,0.06283261626958847,34.0,0
-0.9798,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,-0.05932971090078354,-0.011611728928983212,34.0,0
-0.9785,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,0.20238158106803894,0.0396091602742672,34.0,0
-0.977,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,-0.05932972580194473,-0.011611731722950935,34.0,0
-0.9757,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,0.20238158106803894,0.039609163999557495,34.0,0
-0.9743,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,0.20238158106803894,0.0396091602742672,34.0,0
-0.973,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,-0.5234225988388062,-0.10244178026914597,34.0,0
-0.9716,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,-0.2617112994194031,-0.05122089013457298,34.0,0
-0.9703,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,-0.2617112994194031,-0.05122089013457298,34.0,0
-0.969,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,-0.20238158106803894,-0.0396091602742672,34.0,0
-0.9677,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,-0.6664745211601257,-0.13043922185897827,34.0,0
-0.9665,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,-0.6071447134017944,-0.11882748454809189,34.0,0
-0.965,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,-0.2617112994194031,-0.05122089013457298,34.0,0
-0.9638,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,-3.853261265618357e-09,-7.541419710932473e-10,34.0,0
-0.9624,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,-0.6664745211601257,-0.13043922185897827,34.0,0
-0.961,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,0.05932972580194473,0.011611731722950935,34.0,0
-0.9594,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,-3.853261265618357e-09,-7.541419710932473e-10,34.0,0
-0.9578,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,0.464092880487442,0.09083005040884018,34.0,0
-0.9565,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,-0.05932972580194473,-0.011611731722950935,34.0,0
-0.9552,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,0.4047631621360779,0.07921832799911499,34.0,0
-0.9538,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,0.024392452090978622,0.004773974884301424,34.0,0
-0.9523,100,14.14,settle,10.6329345703125,10.6329345703125,1.3102539924148005e-05,-0.00018529789662265054,-0.7258041501045227,-0.14205093681812286,34.0,0
