t_s,pos_deg,vel_rps,tau_cmd,rotor_phase,fault
0.0011,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0023,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0033,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0055,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0064,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0074,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0084,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0095,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0105,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0115,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0124,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0134,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0143,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0153,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0162,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0172,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0181,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0191,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0201,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0213,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0223,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0233,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0243,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0252,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0263,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0273,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0283,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0293,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0303,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0313,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0323,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0333,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0344,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0354,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0364,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0374,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0384,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0394,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0403,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0413,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0424,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0434,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0444,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0454,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0464,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0474,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0484,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0494,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0504,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0514,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0524,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0534,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0544,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0553,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0563,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0573,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0583,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0593,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0603,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0614,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0624,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0633,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0643,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0653,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0663,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0673,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0683,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0693,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0702,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0714,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0724,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0734,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0744,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0753,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0763,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0773,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0783,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0793,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0802,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0814,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0824,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0833,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0844,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0854,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0864,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0874,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0884,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0893,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0903,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0914,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0923,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0933,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0943,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0952,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0962,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0972,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0981,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.0991,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1001,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1011,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1021,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1031,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1041,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1051,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1061,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1071,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1081,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1091,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1101,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1111,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1121,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1131,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1141,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1151,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1161,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1171,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1181,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1191,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1201,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1211,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1221,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1231,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1241,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1251,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
0.1261,0.0,-3.5686125556821935e-06,-0.001,0.2694,0
