step,cmd_Nm,moteus_Nm,iq_A,fet_C,drift_deg
1,8.0,7.998,1.565,42.0,1.3184
2,9.0,9.002,1.762,43.0,1.3403
3,10.0,9.999,1.957,44.0,1.3623
4,11.0,10.996,2.152,44.0,1.4337
5,12.0,12.001,2.348,44.0,1.4502
6,13.0,13.012,2.546,45.0,1.8073
7,14.0,14.006,2.741,46.0,1.8402
8,15.0,15.008,2.938,46.0,1.8622
9,16.0,16.001,3.132,46.0,1.8951
