phase,t_s,encoder0,position,fault
still,0.0792,0.3762206733226776,0.0075225830078125,0
still,0.08,0.3762206733226776,0.0075225830078125,0
still,0.0807,0.3762206733226776,0.0075225830078125,0
still,0.0814,0.3762206733226776,0.0075225830078125,0
still,0.0821,0.3762206733226776,0.0075225830078125,0
still,0.0829,0.3762206733226776,0.0075225830078125,0
still,0.0836,0.3762206733226776,0.0075225830078125,0
still,0.0843,0.3762206733226776,0.0075225830078125,0
still,0.0851,0.3762206733226776,0.0075225830078125,0
still,0.0857,0.3762206733226776,0.0075225830078125,0
still,0.0865,0.3762206733226776,0.0075225830078125,0
still,0.0872,0.3762206733226776,0.0075225830078125,0
still,0.0879,0.3762206733226776,0.0075225830078125,0
still,0.0886,0.3762206733226776,0.0075225830078125,0
still,0.0892,0.3762206733226776,0.0075225830078125,0
still,0.0899,0.3762206733226776,0.0075225830078125,0
still,0.0905,0.3762206733226776,0.0075225830078125,0
still,0.0912,0.3762206733226776,0.0075225830078125,0
still,0.0919,0.3762206733226776,0.0075225830078125,0
still,0.0925,0.3762206733226776,0.0075225830078125,0
still,0.0932,0.3762206733226776,0.0075225830078125,0
still,0.0939,0.3762206733226776,0.0075225830078125,0
still,0.0946,0.3762206733226776,0.0075225830078125,0
still,0.0952,0.3762206733226776,0.0075225830078125,0
still,0.0959,0.3762206733226776,0.0075225830078125,0
still,0.0966,0.3762206733226776,0.0075225830078125,0
still,0.0973,0.3762206733226776,0.0075225830078125,0
still,0.098,0.3762206733226776,0.0075225830078125,0
still,0.0986,0.3762206733226776,0.0075225830078125,0
still,0.0993,0.3762206733226776,0.0075225830078125,0
still,0.1001,0.3762206733226776,0.0075225830078125,0
still,0.1008,0.3762206733226776,0.0075225830078125,0
still,0.1015,0.3762206733226776,0.0075225830078125,0
still,0.1021,0.3762206733226776,0.0075225830078125,0
still,0.1028,0.3762206733226776,0.0075225830078125,0
still,0.1035,0.3762206733226776,0.0075225830078125,0
still,0.1041,0.3762206733226776,0.0075225830078125,0
still,0.1048,0.3762206733226776,0.0075225830078125,0
still,0.1055,0.3762206733226776,0.0075225830078125,0
still,0.1062,0.3762206733226776,0.0075225830078125,0
still,0.1068,0.3762206733226776,0.0075225830078125,0
still,0.1075,0.3762206733226776,0.0075225830078125,0
still,0.1082,0.3762206733226776,0.0075225830078125,0
still,0.1089,0.3762206733226776,0.0075225830078125,0
still,0.1096,0.3762206733226776,0.0075225830078125,0
still,0.1103,0.3762206733226776,0.0075225830078125,0
still,0.1109,0.3762206733226776,0.0075225830078125,0
still,0.1116,0.3762206733226776,0.0075225830078125,0
still,0.1123,0.3762206733226776,0.0075225830078125,0
still,0.1131,0.3762206733226776,0.0075225830078125,0
still,0.1137,0.3762206733226776,0.0075225830078125,0
still,0.1145,0.3762206733226776,0.0075225830078125,0
still,0.1151,0.3762206733226776,0.0075225830078125,0
still,0.1158,0.3762206733226776,0.0075225830078125,0
still,0.1165,0.3762206733226776,0.0075225830078125,0
still,0.1173,0.3762206733226776,0.0075225830078125,0
still,0.1182,0.3762206733226776,0.0075225830078125,0
still,0.1189,0.3762206733226776,0.0075225830078125,0
still,0.1196,0.3762206733226776,0.0075225830078125,0
still,0.1203,0.3762206733226776,0.0075225830078125,0
still,0.1209,0.3762206733226776,0.0075225830078125,0
still,0.1216,0.3762206733226776,0.0075225830078125,0
still,0.1223,0.3762206733226776,0.0075225830078125,0
still,0.1229,0.3762206733226776,0.0075225830078125,0
still,0.1237,0.3762206733226776,0.0075225830078125,0
still,0.1245,0.3762206733226776,0.0075225830078125,0
still,0.1252,0.3762206733226776,0.0075225830078125,0
still,0.1258,0.3762206733226776,0.0075225830078125,0
still,0.1265,0.3762206733226776,0.0075225830078125,0
still,0.1272,0.3762206733226776,0.0075225830078125,0
still,0.1278,0.3762206733226776,0.0075225830078125,0
still,0.1285,0.3762206733226776,0.0075225830078125,0
still,0.1292,0.3762206733226776,0.0075225830078125,0
still,0.1299,0.3762206733226776,0.0075225830078125,0
still,0.1306,0.3762206733226776,0.0075225830078125,0
still,0.1312,0.3762206733226776,0.0075225830078125,0
still,0.1319,0.3762206733226776,0.0075225830078125,0
still,0.1326,0.3762206733226776,0.0075225830078125,0
still,0.1332,0.3762206733226776,0.0075225830078125,0
still,0.1339,0.3762206733226776,0.0075225830078125,0
still,0.1346,0.3762206733226776,0.0075225830078125,0
still,0.1353,0.3762206733226776,0.0075225830078125,0
still,0.136,0.3762206733226776,0.0075225830078125,0
still,0.1366,0.3762206733226776,0.0075225830078125,0
still,0.1373,0.3762206733226776,0.0075225830078125,0
still,0.138,0.3762206733226776,0.0075225830078125,0
still,0.1386,0.3762206733226776,0.0075225830078125,0
still,0.1392,0.3762206733226776,0.0075225830078125,0
still,0.1398,0.3762206733226776,0.0075225830078125,0
still,0.1404,0.3762206733226776,0.0075225830078125,0
still,0.1411,0.3762206733226776,0.0075225830078125,0
still,0.1417,0.3762206733226776,0.0075225830078125,0
still,0.1424,0.3762206733226776,0.0075225830078125,0
still,0.1431,0.3762206733226776,0.0075225830078125,0
still,0.1437,0.3762206733226776,0.0075225830078125,0
still,0.1444,0.3762206733226776,0.0075225830078125,0
still,0.1451,0.3762206733226776,0.0075225830078125,0
still,0.1457,0.3762206733226776,0.0075225830078125,0
still,0.1464,0.3762206733226776,0.0075225830078125,0
still,0.1471,0.3762206733226776,0.0075225830078125,0
still,0.1477,0.3762206733226776,0.0075225830078125,0
still,0.1484,0.3762206733226776,0.0075225830078125,0
still,0.1491,0.3762206733226776,0.0075225830078125,0
still,0.1497,0.3762206733226776,0.0075225830078125,0
still,0.1504,0.3762206733226776,0.0075225830078125,0
still,0.1511,0.3762206733226776,0.0075225830078125,0
still,0.1518,0.3762206733226776,0.0075225830078125,0
still,0.1524,0.3762206733226776,0.0075225830078125,0
still,0.1531,0.3762206733226776,0.0075225830078125,0
still,0.1538,0.3762206733226776,0.0075225830078125,0
still,0.1545,0.3762206733226776,0.0075225830078125,0
still,0.1551,0.3762206733226776,0.0075225830078125,0
still,0.1558,0.3762206733226776,0.0075225830078125,0
still,0.1565,0.3762206733226776,0.0075225830078125,0
still,0.1572,0.3762206733226776,0.0075225830078125,0
still,0.1578,0.3762206733226776,0.0075225830078125,0
still,0.1585,0.3762206733226776,0.0075225830078125,0
still,0.1592,0.3762206733226776,0.0075225830078125,0
still,0.1599,0.3762206733226776,0.0075225830078125,0
still,0.1605,0.3762206733226776,0.0075225830078125,0
