t_s,pos_deg,vel_rps,tau_cmd,rotor_phase,e1_deg,fault
0.0015,0.0,-3.5856930935551645e-06,-1.169,0.3403,202.806,0
0.003,0.0,-3.5856930935551645e-06,-1.169,0.3403,202.783,0
0.0059,0.0,-3.5856930935551645e-06,-1.169,0.3403,202.761,0
0.0073,0.0,-3.5856930935551645e-06,-1.169,0.3403,202.8,0
0.0086,0.0,-3.5856930935551645e-06,-1.169,0.3403,202.77,0
0.01,0.0,-3.5856930935551645e-06,-1.169,0.3403,202.804,0
0.0116,0.0,-3.5856930935551645e-06,-1.169,0.3403,202.814,0
0.013,0.0,-3.5856930935551645e-06,-1.169,0.3403,202.768,0
0.0143,0.0,-3.5856930935551645e-06,-1.169,0.3403,202.808,0
0.0156,0.0,-3.5856930935551645e-06,-1.169,0.3403,202.782,0
0.017,0.0,-3.5856930935551645e-06,-1.169,0.3403,202.747,0
0.0183,0.0,-3.5856930935551645e-06,-1.169,0.3403,202.816,0
0.0196,0.0,-3.5856930935551645e-06,-1.169,0.3403,202.776,0
0.021,0.0,-3.5856930935551645e-06,-1.169,0.3403,202.828,0
0.0224,0.0,-3.5856930935551645e-06,-1.169,0.3403,202.814,0
0.024,0.0,-0.0004973442992195487,-1.272,0.3403,202.763,0
0.0254,-0.005,-0.0006781728588975966,-1.313,0.3395,202.8,0
0.0267,-0.005,-0.0005524987354874611,-1.287,0.3395,202.791,0
0.0281,-0.005,-0.0003779753460548818,-1.25,0.3395,202.816,0
0.0294,-0.005,-0.00023932386829983443,-1.221,0.3395,202.811,0
0.0308,-0.005,-0.00015068483480717987,-1.203,0.3395,202.81,0
0.0322,-0.005,-8.573595550842583e-05,-1.189,0.3395,202.796,0
0.0336,-0.005,-5.1700528274523094e-05,-1.182,0.3395,202.773,0
0.0351,-0.005,-2.9785629521938972e-05,-1.178,0.3395,202.796,0
0.0364,-0.005,-1.6746878827689216e-05,-1.175,0.3395,202.802,0
0.0378,-0.005,-9.523532753519248e-06,-1.173,0.3395,202.784,0
0.0392,-0.005,-5.116068678034935e-06,-1.172,0.3395,202.807,0
0.0406,-0.005,-2.055328423011815e-06,-1.172,0.3395,202.796,0
0.042,-0.005,-3.5239825280086734e-08,-1.171,0.3395,202.786,0
0.0434,-0.005,1.4951302773624775e-06,-1.171,0.3395,202.774,0
0.0448,-0.005,2.413352376606781e-06,-1.171,0.3395,202.799,0
0.0462,-0.005,3.209143187632435e-06,-1.171,0.3395,202.793,0
0.0475,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.804,0
0.049,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.814,0
0.0503,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.795,0
0.0517,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.785,0
0.0531,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.812,0
0.0544,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.784,0
0.056,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.809,0
0.0574,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.788,0
0.0588,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.762,0
0.0602,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.778,0
0.0617,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.799,0
0.0631,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.793,0
0.0645,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.773,0
0.066,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.824,0
0.0673,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.809,0
0.0686,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.825,0
0.0701,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.77,0
0.0717,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.765,0
0.0733,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.789,0
0.0749,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.775,0
0.0764,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.784,0
0.0777,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.812,0
0.0791,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.796,0
0.0806,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.764,0
0.082,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.754,0
0.0833,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.813,0
0.0847,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.793,0
0.086,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.802,0
0.0873,-0.005,3.5764310268859845e-06,-1.171,0.3395,202.803,0
0.0886,-0.005,-0.00016917170432861894,-1.207,0.3395,202.79,0
0.0899,-0.005,-0.0002261626796098426,-1.219,0.3395,202.792,0
0.0912,-0.005,-0.0001854548609117046,-1.21,0.3395,202.784,0
0.0925,-0.005,-0.0001312185631832108,-1.199,0.3395,202.794,0
0.0939,-0.005,-8.659298327984288e-05,-1.19,0.3395,202.793,0
0.0952,-0.005,-5.261876867734827e-05,-1.182,0.3395,202.825,0
0.0966,-0.005,-3.192816802766174e-05,-1.178,0.3395,202.805,0
0.0981,-0.005,-1.7909980670083314e-05,-1.175,0.3395,202.79,0
0.0995,-0.005,-9.645982572692446e-06,-1.173,0.3395,202.785,0
0.1009,-0.005,-5.177304046810605e-06,-1.172,0.3395,202.777,0
0.1022,-0.005,-2.2389933747035684e-06,-1.172,0.3395,202.8,0
0.1034,-0.005,-2.801196785640059e-07,-1.171,0.3395,202.798,0
0.1047,-0.005,1.3114650982970488e-06,-1.171,0.3395,202.807,0
0.1061,-0.005,2.168472519770148e-06,-1.171,0.3395,202.811,0
0.1075,-0.005,3.0254784633143572e-06,-1.171,0.3395,202.782,0
0.1088,-0.005,3.576410335881519e-06,-1.171,0.3395,202.79,0
0.1101,-0.005,3.576410335881519e-06,-1.171,0.3395,202.809,0
0.1114,-0.005,3.576410335881519e-06,-1.171,0.3395,202.781,0
0.1127,-0.005,3.576410335881519e-06,-1.171,0.3395,202.821,0
0.1141,-0.005,3.576410335881519e-06,-1.171,0.3395,202.774,0
0.1154,-0.005,3.576410335881519e-06,-1.171,0.3395,202.831,0
0.1167,-0.005,3.576410335881519e-06,-1.171,0.3395,202.821,0
0.118,-0.005,3.576410335881519e-06,-1.171,0.3395,202.815,0
0.1192,-0.005,3.576410335881519e-06,-1.171,0.3395,202.796,0
0.1206,-0.005,3.576410335881519e-06,-1.171,0.3395,202.787,0
0.1221,-0.005,3.576410335881519e-06,-1.171,0.3395,202.813,0
0.1234,-0.005,3.576410335881519e-06,-1.171,0.3395,202.81,0
0.1248,-0.005,3.576410335881519e-06,-1.171,0.3395,202.782,0
0.1261,-0.005,3.576410335881519e-06,-1.171,0.3395,202.772,0
0.1275,-0.005,3.576410335881519e-06,-1.171,0.3395,202.809,0
0.1289,-0.005,3.576410335881519e-06,-1.171,0.3395,202.777,0
0.1303,-0.005,3.576410335881519e-06,-1.171,0.3395,202.788,0
0.1317,-0.005,3.576410335881519e-06,-1.171,0.3395,202.78,0
0.1332,-0.005,3.576410335881519e-06,-1.171,0.3395,202.771,0
0.1345,-0.005,3.576410335881519e-06,-1.171,0.3395,202.787,0
0.1361,-0.005,3.576410335881519e-06,-1.171,0.3395,202.806,0
0.1375,-0.005,3.576410335881519e-06,-1.171,0.3395,202.813,0
0.139,-0.005,3.576410335881519e-06,-1.171,0.3395,202.792,0
0.1403,-0.005,3.576410335881519e-06,-1.171,0.3395,202.826,0
0.1416,-0.005,3.576410335881519e-06,-1.171,0.3395,202.769,0
0.1428,-0.005,3.576410335881519e-06,-1.171,0.3395,202.793,0
0.1441,-0.005,3.576410335881519e-06,-1.171,0.3395,202.796,0
0.1453,-0.005,3.576410335881519e-06,-1.171,0.3395,202.787,0
0.1466,-0.005,3.576410335881519e-06,-1.171,0.3395,202.811,0
0.148,-0.005,3.576410335881519e-06,-1.171,0.3395,202.768,0
0.1493,-0.005,3.576410335881519e-06,-1.171,0.3395,202.801,0
0.1506,-0.005,3.576410335881519e-06,-1.171,0.3395,202.814,0
0.152,-0.005,3.576410335881519e-06,-1.171,0.3395,202.785,0
0.1532,-0.005,3.576410335881519e-06,-1.171,0.3395,202.79,0
0.1545,-0.005,3.576410335881519e-06,-1.171,0.3395,202.78,0
0.1559,-0.005,3.576410335881519e-06,-1.171,0.3395,202.835,0
0.1571,-0.005,3.576410335881519e-06,-1.171,0.3395,202.735,0
0.1583,-0.005,3.576410335881519e-06,-1.171,0.3395,202.81,0
0.1596,-0.005,3.576410335881519e-06,-1.171,0.3395,202.817,0
0.1609,-0.005,3.576410335881519e-06,-1.171,0.3395,202.774,0
0.1621,-0.005,3.576410335881519e-06,-1.171,0.3395,202.823,0
0.1634,-0.005,3.576410335881519e-06,-1.171,0.3395,202.791,0
0.1646,-0.005,3.576410335881519e-06,-1.171,0.3395,202.769,0
0.1659,-0.005,3.576410335881519e-06,-1.171,0.3395,202.808,0
0.1672,-0.005,3.576410335881519e-06,-1.171,0.3395,202.794,0
0.1685,-0.005,3.576410335881519e-06,-1.171,0.3395,202.792,0
0.1697,-0.005,3.576410335881519e-06,-1.171,0.3395,202.798,0
0.1711,-0.005,3.576410335881519e-06,-1.171,0.3395,202.785,0
0.1725,-0.005,3.576410335881519e-06,-1.171,0.3395,202.789,0
0.1739,-0.005,3.576410335881519e-06,-1.171,0.3395,202.779,0
0.1751,-0.005,3.576410335881519e-06,-1.171,0.3395,202.81,0
0.1763,-0.005,3.576410335881519e-06,-1.171,0.3395,202.785,0
0.1776,-0.005,3.576410335881519e-06,-1.171,0.3395,202.821,0
0.1789,-0.005,3.576410335881519e-06,-1.171,0.3395,202.839,0
0.1803,-0.005,3.576410335881519e-06,-1.171,0.3395,202.775,0
0.1815,-0.005,3.576410335881519e-06,-1.171,0.3395,202.829,0
0.1829,-0.005,3.576410335881519e-06,-1.171,0.3395,202.789,0
0.1842,-0.005,3.576410335881519e-06,-1.171,0.3395,202.804,0
0.1854,-0.005,3.576410335881519e-06,-1.171,0.3395,202.788,0
