t_s,leg,tgt_deg,pos_deg,vel_rps,torque_Nm,iq_A,bus_V,fet_C,fault
0.001,1,80.0,0.0,-9.517859325569589e-06,0.0,-0.9612636566162109,23.654146194458008,37.0,0
0.007,1,80.0,0.0,-9.517859325569589e-06,0.0,0.053519584238529205,23.61825180053711,37.0,0
0.012,1,80.0,0.0,-9.517859325569589e-06,0.0,0.09919397532939911,23.636198043823242,37.0,0
0.017,1,80.0,0.0,-9.517859325569589e-06,0.0,-0.007845189422369003,23.636198043823242,37.0,0
0.021,1,80.0,0.0,-9.517859325569589e-06,-0.2734563648700714,-0.053519584238529205,23.61825180053711,37.0,0
0.027,1,80.0,0.0,-9.517859325569589e-06,0.8203690648078918,0.16055874526500702,23.636198043823242,37.0,0
0.032,1,80.0,0.0,-9.517859325569589e-06,0.5869975090026855,0.11488436162471771,23.600303649902344,37.0,0
0.037,1,80.0,0.0,-9.517859325569589e-06,0.5469127297401428,0.10703916847705841,23.61825180053711,37.0,0
0.042,1,80.0,0.0,-9.517859325569589e-06,0.6635985970497131,0.12987636029720306,23.636198043823242,37.0,0
0.046,1,80.0,0.0,-9.517859325569589e-06,1.5240525007247925,0.2982802987098694,23.61825180053711,37.0,0
0.052,1,80.0,0.0,-9.517859325569589e-06,1.0938254594802856,0.21407833695411682,23.61825180053711,37.0,0
0.057,1,80.0,0.0,0.00040331471245735884,1.403559684753418,0.27469801902770996,23.636198043823242,37.0,0
0.062,1,80.0,0.0,0.00032085838029161096,1.1274759769439697,0.22066423296928406,23.636198043823242,37.0,0
0.067,1,80.0,0.0,0.0004444511141628027,3.835698127746582,0.7507046461105347,23.61825180053711,37.0,0
0.072,1,80.0,0.0055,0.0006080169696360826,1.9192378520965576,0.3756241202354431,23.61825180053711,37.0,0
0.077,1,80.0,0.0055,0.000561677326913923,1.920262336730957,0.37582463026046753,23.61825180053711,37.0,0
0.082,1,80.0,0.011,0.001569333951920271,2.059891700744629,0.4031522274017334,23.636198043823242,37.0,0
0.087,1,80.0,0.011,0.0023638405837118626,2.4954771995544434,0.48840293288230896,23.61825180053711,37.0,0
0.092,1,80.0,0.0165,0.002519510220736265,2.72623348236084,0.5335654616355896,23.636198043823242,37.0,0
0.097,1,80.0,0.022,0.003482357831671834,2.695523500442505,0.5275550484657288,23.636198043823242,37.0,0
0.102,1,80.0,0.033,0.004399172496050596,3.1646151542663574,0.6193634271621704,23.636198043823242,37.0,0
0.107,1,80.0,0.0439,0.005358225200325251,3.1481542587280273,0.6161417961120605,23.61825180053711,37.0,0
0.112,1,80.0,0.0494,0.004442513920366764,6.363063812255859,1.2453486919403076,23.61825180053711,37.0,0
0.117,1,80.0,0.0604,0.004691841080784798,3.5657060146331787,0.697862982749939,23.61825180053711,37.0,0
0.122,1,80.0,0.0714,0.005884918384253979,3.630268096923828,0.7104988098144531,23.61825180053711,37.0,0
0.127,1,80.0,0.0824,0.007329038344323635,3.2282629013061523,0.6318202614784241,23.636198043823242,37.0,0
0.132,1,80.0,0.0989,0.008069552481174469,3.430020332336426,0.6713073253631592,23.61825180053711,37.0,0
0.137,1,80.0,0.1154,0.009245488792657852,2.882148027420044,0.5640802979469299,23.61825180053711,37.0,0
0.142,1,80.0,0.1373,0.01051208097487688,3.3634140491485596,0.7021123170852661,23.61825180053711,37.0,0
0.147,1,80.0,0.1593,0.011655022390186787,2.813823938369751,0.5507082343101501,23.636198043823242,37.0,0
0.152,1,80.0,0.1813,0.012827775441110134,3.593940258026123,0.7033888697624207,23.61825180053711,37.0,0
0.157,1,80.0,0.2087,0.014191031455993652,3.5020880699157715,0.6854120492935181,23.61825180053711,37.0,0
0.162,1,80.0,0.2307,0.014597433619201183,3.1110305786132812,0.60887610912323,23.636198043823242,37.0,0
0.167,1,80.0,0.2637,0.015392919071018696,2.6130802631378174,0.5114196538925171,23.61825180053711,37.0,0
0.172,1,80.0,0.2911,0.016006354242563248,2.6135780811309814,0.5115171074867249,23.636198043823242,37.0,0
0.177,1,80.0,0.3186,0.015124130994081497,3.563998222351074,0.6975287795066833,23.61825180053711,37.0,0
0.182,1,80.0,0.3461,0.014958666637539864,2.6057486534118652,0.5099847316741943,23.61825180053711,37.0,0
0.187,1,80.0,0.368,0.014717048034071922,3.1593799591064453,0.6183388233184814,23.636198043823242,37.0,0
0.192,1,80.0,0.3955,0.013183984905481339,2.895954132080078,0.5667823553085327,23.636198043823242,37.0,0
0.196,1,80.0,0.412,0.01214204728603363,3.0833868980407715,0.6034657955169678,23.61825180053711,37.0,0
0.202,1,80.0,0.4285,0.009891367517411709,5.838440895080566,1.1426719427108765,23.636198043823242,37.0,0
0.207,1,80.0,0.4449,0.0073027764447033405,5.8789567947387695,1.1506015062332153,23.61825180053711,37.0,0
0.212,1,80.0,0.4504,0.0059638861566782,6.57505989074707,1.286839485168457,23.600303649902344,37.0,0
0.217,1,80.0,0.4724,0.009847903624176979,6.063285827636719,1.1866774559020996,23.61825180053711,37.0,0
0.222,1,80.0,0.5054,0.016347013413906097,4.431499004364014,0.867311954498291,23.61825180053711,37.0,0
0.227,1,80.0,0.5438,0.020797759294509888,4.297582149505615,0.8411023616790771,23.61825180053711,37.0,0
0.232,1,80.0,0.5933,0.027370018884539604,3.887134075164795,0.7607713937759399,23.636198043823242,37.0,0
0.237,1,80.0,0.6482,0.028137285262346268,4.341421127319336,0.8496822714805603,23.636198043823242,37.0,0
0.242,1,80.0,0.6976,0.028289644047617912,3.4941658973693848,0.683861494064331,23.636198043823242,37.0,0
0.246,1,80.0,0.7416,0.027423398569226265,3.5789377689361572,0.7004526853561401,23.636198043823242,37.0,0
0.252,1,80.0,0.7965,0.02705972082912922,3.9055070877075195,0.7643672823905945,23.61825180053711,37.0,0
0.257,1,80.0,0.8459,0.02715582586824894,2.611586809158325,0.5111273527145386,23.61825180053711,37.0,0
0.261,1,80.0,0.8899,0.026572687551379204,3.848475217819214,0.7532052397727966,23.61825180053711,37.0,0
0.267,1,80.0,0.9393,0.025483854115009308,5.508909225463867,1.0781774520874023,23.636198043823242,37.0,0
0.271,1,80.0,0.9723,0.022204028442502022,4.661104679107666,0.9122492074966431,23.61825180053711,37.0,0
0.277,1,80.0,1.0052,0.017451254650950432,7.055395126342773,1.3808484077453613,23.636198043823242,37.0,0
0.282,1,80.0,1.0272,0.015049309469759464,7.511807441711426,1.4701751470565796,23.654146194458008,37.0,0
0.287,1,80.0,1.0657,0.018940187990665436,6.019875526428223,1.1781814098358154,23.61825180053711,37.0,0
0.292,1,80.0,1.1151,0.026164812967181206,5.455019474029541,1.0676305294036865,23.636198043823242,37.0,0
0.297,1,80.0,1.1646,0.028013810515403748,4.689314365386963,0.9177703857421875,23.61825180053711,37.0,0
0.302,1,80.0,1.2195,0.02984786219894886,4.48665714263916,0.8781072497367859,23.61825180053711,37.0,0
0.307,1,80.0,1.2799,0.03201008588075638,4.784381866455078,0.9363764524459839,23.61825180053711,37.0,0
0.312,1,80.0,1.3403,0.031896963715553284,3.9851977825164795,0.7799639701843262,23.61825180053711,37.0,0
0.317,1,80.0,1.3953,0.030538903549313545,3.4892730712890625,0.6829039454460144,23.61825180053711,37.0,0
0.321,1,80.0,1.4392,0.026709305122494698,5.555118083953857,1.0872212648391724,23.636198043823242,37.0,0
0.327,1,80.0,1.4777,0.02235301025211811,7.293523788452148,1.4274537563323975,23.636198043823242,37.0,0
0.331,1,80.0,1.5051,0.019283203408122063,7.150860786437988,1.3995325565338135,23.61825180053711,37.0,0
0.337,1,80.0,1.5491,0.02321932092308998,6.880595684051514,1.346637487411499,23.600303649902344,37.0,0
0.342,1,80.0,1.6095,0.031168242916464806,5.724408149719238,1.1203539371490479,23.61825180053711,37.0,0
0.346,1,80.0,1.6754,0.03561244532465935,4.803414821624756,0.9401015639305115,23.636198043823242,37.0,0
0.352,1,80.0,1.7468,0.037049755454063416,4.353953838348389,0.8521351218223572,23.600303649902344,37.0,0
0.357,1,80.0,1.8237,0.04119601473212242,4.534219741821289,0.887415885925293,23.636198043823242,37.0,0
0.362,1,80.0,1.8951,0.04006055369973183,4.081122875213623,0.7987379431724548,23.61825180053711,37.0,0
0.367,1,80.0,1.9611,0.036489833146333694,5.479764938354492,1.0724735260009766,23.636198043823242,37.0,0
0.371,1,80.0,2.005,0.028847593814134598,4.925996780395508,0.9640926718711853,23.61825180053711,37.0,0
0.377,1,80.0,2.049,0.024027178063988686,7.18023681640625,1.4052817821502686,23.654146194458008,37.0,0
0.382,1,80.0,2.0984,0.03052493929862976,7.84844446182251,1.5360602140426636,23.600303649902344,37.0,0
0.387,1,80.0,2.1808,0.03961203247308731,4.407478332519531,0.8626106977462769,23.636198043823242,37.0,0
0.392,1,80.0,2.2577,0.04200020805001259,4.792803764343262,0.9380246996879578,23.636198043823242,37.0,0
