t_s,phase,torque_step_Nm,mode,velocity_rps_out,orbis_unwrapped_output_rev,q_current_A,bus_voltage_V,fet_temp_C,fault,bissc_crc_delta
0.0,escalate,2.0,0,-1.5517796782660298e-05,0.0,-0.3969902992248535,23.5,35.0,0,0.0
0.0181,escalate,2.0,10,-1.5517796782660298e-05,0.0,-0.1496974527835846,23.5,35.0,0,0.0
0.0201,escalate,2.0,10,-1.5517796782660298e-05,0.0,-0.08526983112096786,23.5,35.0,0,0.0
0.0311,escalate,2.0,10,-1.5517796782660298e-05,0.0,-0.01042109727859497,23.5,35.0,0,0.0
0.041,escalate,2.0,10,-1.5517796782660298e-05,0.0,-0.05337285250425339,23.5,35.0,0,0.0
0.0511,escalate,2.0,10,-1.5517796782660298e-05,0.0,0.06379395723342896,24.0,35.0,0,0.0
0.061,escalate,2.0,10,-1.5517796782660298e-05,0.0,-0.031896986067295074,23.5,35.0,0,0.0
0.071,escalate,2.0,10,-0.0002079974947264418,-1e-06,-0.08503475040197372,24.0,35.0,0,0.0
0.081,escalate,2.0,10,5.761351712862961e-05,-1e-06,-0.053398486226797104,23.5,35.0,0,0.0
0.0907,escalate,2.0,10,2.2108943085186183e-05,0.0,0.1920199990272522,23.5,35.0,0,0.0
0.1001,escalate,2.0,10,-1.2457005141186528e-05,0.0,-0.02147456258535385,24.0,35.0,0,0.0
0.1111,escalate,2.0,10,-1.3069151464151219e-05,0.0,0.03189748525619507,23.5,35.0,0,0.0
0.121,escalate,2.0,10,-1.3069151464151219e-05,0.0,0.011053132824599743,23.5,35.0,0,0.0
0.131,escalate,2.0,10,-1.3069151464151219e-05,0.0,0.06442593038082123,23.5,35.0,0,0.0
0.1407,escalate,2.0,10,-1.3069151464151219e-05,0.0,-0.021475307643413544,24.0,35.0,0,0.0
0.151,escalate,2.0,10,-1.3069151464151219e-05,0.0,-0.031897518783807755,24.0,35.0,0,0.0
0.161,escalate,2.0,10,-1.3069151464151219e-05,0.0,0.12758995592594147,23.5,35.0,0,0.0
0.171,escalate,2.0,10,-1.3069151464151219e-05,0.0,-0.04231966659426689,23.5,35.0,0,0.0
0.181,escalate,2.0,10,-1.3069151464151219e-05,0.0,-0.06379497796297073,23.5,35.0,0,0.0
0.191,escalate,2.0,10,-1.3069151464151219e-05,0.0,0.1386430859565735,23.5,35.0,0,0.0
0.201,escalate,2.0,10,-1.3069151464151219e-05,0.0,0.12822091579437256,23.5,35.0,0,0.0
0.22,escalate,2.0,10,-1.3069151464151219e-05,0.0,-0.02147531323134899,23.5,35.0,0,0.0
0.2212,escalate,2.0,10,-1.3069151464151219e-05,0.0,-0.03189748898148537,23.5,35.0,0,0.0
0.231,escalate,2.0,10,-1.3069151464151219e-05,0.0,-2.9311979510282526e-09,23.5,35.0,0,0.0
0.241,escalate,2.0,10,-1.3069151464151219e-05,0.0,0.1386430859565735,23.5,35.0,0,0.0
