t_s,pos_deg,vel_rps,tau_cmd,rotor_phase,e1_deg,fault
0.0016,0.0,3.666033762783627e-06,-1.205,0.2625,203.425,0
0.003,0.0,3.666033762783627e-06,-1.205,0.2625,203.393,0
0.0049,0.0,3.666033762783627e-06,-1.205,0.2625,203.417,0
0.0063,0.0,3.666033762783627e-06,-1.205,0.2625,203.385,0
0.0076,0.0,3.666033762783627e-06,-1.205,0.2625,203.408,0
0.0089,0.0,3.666033762783627e-06,-1.205,0.2625,203.386,0
0.0102,0.0,3.666033762783627e-06,-1.205,0.2625,203.367,0
0.0115,0.0,3.666033762783627e-06,-1.205,0.2625,203.435,0
0.0127,0.0,3.666033762783627e-06,-1.205,0.2625,203.402,0
0.014,0.0,3.666033762783627e-06,-1.205,0.2625,203.406,0
0.0153,0.0,3.666033762783627e-06,-1.205,0.2625,203.398,0
0.0166,0.0,3.666033762783627e-06,-1.205,0.2625,203.384,0
0.0179,0.0,3.666033762783627e-06,-1.205,0.2625,203.411,0
0.0192,0.0,3.666033762783627e-06,-1.205,0.2625,203.364,0
0.0204,0.0,3.666033762783627e-06,-1.205,0.2625,203.396,0
0.0217,0.0,3.666033762783627e-06,-1.205,0.2625,203.388,0
0.023,0.0,-5.577353294938803e-05,-1.221,0.2625,203.397,0
0.0243,0.0,-0.00043861090671271086,-1.33,0.2625,203.394,0
0.0256,0.0,-0.0004296123515814543,-1.327,0.2625,203.376,0
0.0269,0.0,-0.0003271387831773609,-1.298,0.2625,203.412,0
0.0282,0.0,-0.0002235021529486403,-1.269,0.2625,203.379,0
0.0296,0.0,-0.00035952142206951976,-1.307,0.2625,203.393,0
0.0309,0.0,-0.0005101711140014231,-1.35,0.2625,203.392,0
0.0321,0.0,-0.00044454887392930686,-1.331,0.2625,203.373,0
0.0335,0.0,-0.00031312069040723145,-1.294,0.2625,203.406,0
0.0348,0.0,-0.00020783125364687294,-1.264,0.2625,203.343,0
0.0361,0.0,-0.0001322922034887597,-1.243,0.2625,203.395,0
0.0373,0.0,-8.503438584739342e-05,-1.23,0.2625,203.369,0
0.0386,0.0,-5.173354657017626e-05,-1.22,0.2625,203.42,0
0.0399,0.0,-3.104294592048973e-05,-1.214,0.2625,203.405,0
0.0411,0.0,-1.8861202988773584e-05,-1.211,0.2625,203.404,0
0.0424,0.0,-1.1148140401928686e-05,-1.209,0.2625,203.407,0
0.0437,0.0,-6.557031156262383e-06,-1.208,0.2625,203.414,0
0.0449,0.0,-3.2514317354070954e-06,-1.207,0.2625,203.354,0
0.0462,0.0,-1.047699242917588e-06,-1.206,0.2625,203.383,0
0.0475,0.0,5.438854486783384e-07,-1.206,0.2625,203.371,0
0.0489,0.0,1.7069668274416472e-06,-1.205,0.2625,203.387,0
0.0503,0.0,2.6251884719386e-06,-1.205,0.2625,203.426,0
0.0517,0.0,3.4209790555905784e-06,-1.205,0.2625,203.41,0
0.053,0.0,3.665837766675395e-06,-1.205,0.2625,203.377,0
0.0542,0.0,3.665837766675395e-06,-1.205,0.2625,203.394,0
0.0556,0.0,3.665837766675395e-06,-1.205,0.2625,203.416,0
0.0569,0.0,3.665837766675395e-06,-1.205,0.2625,203.368,0
0.0582,0.0,3.665837766675395e-06,-1.205,0.2625,203.375,0
0.0596,0.0,3.665837766675395e-06,-1.205,0.2625,203.388,0
0.0608,0.0,3.665837766675395e-06,-1.205,0.2625,203.414,0
0.0621,0.0,3.665837766675395e-06,-1.205,0.2625,203.373,0
0.0636,0.0,3.665837766675395e-06,-1.205,0.2625,203.418,0
0.0649,0.0,3.665837766675395e-06,-1.205,0.2625,203.396,0
0.0661,0.0,3.665837766675395e-06,-1.205,0.2625,203.385,0
0.0676,0.0,3.665837766675395e-06,-1.205,0.2625,203.408,0
0.0689,0.0,3.665837766675395e-06,-1.205,0.2625,203.361,0
0.0702,0.0,3.665837766675395e-06,-1.205,0.2625,203.428,0
0.0717,0.0,3.665837766675395e-06,-1.205,0.2625,203.405,0
0.0729,0.0,3.665837766675395e-06,-1.205,0.2625,203.395,0
0.0742,0.0,3.665837766675395e-06,-1.205,0.2625,203.394,0
0.0756,0.0,3.665837766675395e-06,-1.205,0.2625,203.428,0
0.0769,0.0,3.665837766675395e-06,-1.205,0.2625,203.365,0
0.0781,0.0,3.665837766675395e-06,-1.205,0.2625,203.392,0
0.0794,0.0,3.665837766675395e-06,-1.205,0.2625,203.404,0
0.0806,0.0,3.665837766675395e-06,-1.205,0.2625,203.403,0
0.0819,0.0,3.665837766675395e-06,-1.205,0.2625,203.385,0
0.0832,0.0,3.665837766675395e-06,-1.205,0.2625,203.385,0
0.0845,0.0,3.665837766675395e-06,-1.205,0.2625,203.409,0
0.0858,0.0,3.665837766675395e-06,-1.205,0.2625,203.403,0
0.0872,0.0,3.665837766675395e-06,-1.205,0.2625,203.387,0
0.0885,0.0,3.665837766675395e-06,-1.205,0.2625,203.425,0
0.0898,0.0,3.665837766675395e-06,-1.205,0.2625,203.373,0
0.0911,0.0,3.665837766675395e-06,-1.205,0.2625,203.386,0
0.0925,0.0,3.665837766675395e-06,-1.205,0.2625,203.367,0
0.0937,0.0,3.665837766675395e-06,-1.205,0.2625,203.416,0
0.095,0.0,3.665837766675395e-06,-1.205,0.2625,203.424,0
0.0963,0.0,3.665837766675395e-06,-1.205,0.2625,203.398,0
0.0976,0.0,3.665837766675395e-06,-1.205,0.2625,203.402,0
0.0989,0.0,3.665837766675395e-06,-1.205,0.2625,203.35,0
0.1001,0.0,3.665837766675395e-06,-1.205,0.2625,203.403,0
0.1015,0.0,3.665837766675395e-06,-1.205,0.2625,203.399,0
0.1029,0.0,3.665837766675395e-06,-1.205,0.2625,203.412,0
0.1041,0.0,3.665837766675395e-06,-1.205,0.2625,203.384,0
0.1054,0.0,3.665837766675395e-06,-1.205,0.2625,203.358,0
0.1068,0.0,3.665837766675395e-06,-1.205,0.2625,203.403,0
0.108,0.0,3.665837766675395e-06,-1.205,0.2625,203.382,0
0.1094,0.0,3.665837766675395e-06,-1.205,0.2625,203.408,0
0.1107,0.0,3.665837766675395e-06,-1.205,0.2625,203.418,0
0.1119,0.0,3.665837766675395e-06,-1.205,0.2625,203.366,0
0.1133,0.0,3.665837766675395e-06,-1.205,0.2625,203.415,0
0.1147,0.0,3.665837766675395e-06,-1.205,0.2625,203.399,0
0.1161,0.0,3.665837766675395e-06,-1.205,0.2625,203.406,0
0.1175,0.0,3.665837766675395e-06,-1.205,0.2625,203.37,0
0.1187,0.0,3.665837766675395e-06,-1.205,0.2625,203.377,0
0.12,0.0,3.665837766675395e-06,-1.205,0.2625,203.394,0
0.1213,0.0,3.665837766675395e-06,-1.205,0.2625,203.394,0
0.1226,0.0,3.665837766675395e-06,-1.205,0.2625,203.397,0
0.1239,0.0,3.665837766675395e-06,-1.205,0.2625,203.4,0
0.1251,0.0,3.665837766675395e-06,-1.205,0.2625,203.412,0
0.1263,0.0,3.665837766675395e-06,-1.205,0.2625,203.388,0
0.1278,0.0,3.665837766675395e-06,-1.205,0.2625,203.406,0
0.1292,0.0,3.665837766675395e-06,-1.205,0.2625,203.389,0
0.1308,0.0,3.665837766675395e-06,-1.205,0.2625,203.417,0
0.1322,0.0,3.665837766675395e-06,-1.205,0.2625,203.393,0
0.1338,0.0,3.665837766675395e-06,-1.205,0.2625,203.357,0
0.1351,0.0,3.665837766675395e-06,-1.205,0.2625,203.406,0
0.1366,0.0,3.665837766675395e-06,-1.205,0.2625,203.383,0
0.1379,0.0,3.665837766675395e-06,-1.205,0.2625,203.416,0
0.1392,0.0,3.665837766675395e-06,-1.205,0.2625,203.388,0
0.1406,0.0,3.665837766675395e-06,-1.205,0.2625,203.403,0
0.1418,0.0,3.665837766675395e-06,-1.205,0.2625,203.406,0
0.1431,0.0,3.665837766675395e-06,-1.205,0.2625,203.412,0
0.1445,0.0,3.665837766675395e-06,-1.205,0.2625,203.385,0
0.1457,0.0,3.665837766675395e-06,-1.205,0.2625,203.382,0
0.1472,0.0,3.665837766675395e-06,-1.205,0.2625,203.402,0
0.1486,0.0,3.665837766675395e-06,-1.205,0.2625,203.398,0
0.1499,0.0,3.665837766675395e-06,-1.205,0.2625,203.398,0
0.1511,0.0,3.665837766675395e-06,-1.205,0.2625,203.383,0
0.1524,0.0,3.665837766675395e-06,-1.205,0.2625,203.401,0
0.1538,0.0,3.665837766675395e-06,-1.205,0.2625,203.383,0
0.1551,0.0,3.665837766675395e-06,-1.205,0.2625,203.375,0
0.1566,0.0,3.665837766675395e-06,-1.205,0.2625,203.406,0
0.1579,0.0,3.665837766675395e-06,-1.205,0.2625,203.398,0
0.1591,0.0,3.665837766675395e-06,-1.205,0.2625,203.413,0
0.1607,0.0,3.665837766675395e-06,-1.205,0.2625,203.388,0
0.1622,0.0,3.665837766675395e-06,-1.205,0.2625,203.352,0
0.1635,0.0,3.665837766675395e-06,-1.205,0.2625,203.395,0
0.1648,0.0,3.665837766675395e-06,-1.205,0.2625,203.398,0
0.1661,0.0,3.665837766675395e-06,-1.205,0.2625,203.383,0
0.1675,0.0,3.665837766675395e-06,-1.205,0.2625,203.39,0
0.1691,0.0,3.665837766675395e-06,-1.205,0.2625,203.388,0
0.1705,0.0,3.665837766675395e-06,-1.205,0.2625,203.38,0
0.1719,0.0,3.665837766675395e-06,-1.205,0.2625,203.411,0
0.1734,0.0,3.665837766675395e-06,-1.205,0.2625,203.369,0
0.1747,0.0,3.665837766675395e-06,-1.205,0.2625,203.429,0
0.176,0.0,3.665837766675395e-06,-1.205,0.2625,203.396,0
0.1773,0.0,3.665837766675395e-06,-1.205,0.2625,203.415,0
0.1786,0.0,3.665837766675395e-06,-1.205,0.2625,203.414,0
0.1801,0.0,3.665837766675395e-06,-1.205,0.2625,203.355,0
0.1814,0.0,3.665837766675395e-06,-1.205,0.2625,203.4,0
0.1827,0.0,3.665837766675395e-06,-1.205,0.2625,203.395,0
0.184,0.0,3.665837766675395e-06,-1.205,0.2625,203.4,0
0.1853,0.0,3.665837766675395e-06,-1.205,0.2625,203.4,0
0.1866,0.0,3.665837766675395e-06,-1.205,0.2625,203.403,0
0.188,0.0,3.665837766675395e-06,-1.205,0.2625,203.375,0
0.1894,0.0,3.665837766675395e-06,-1.205,0.2625,203.392,0
0.1907,0.0,3.665837766675395e-06,-1.205,0.2625,203.379,0
0.1921,0.0,3.665837766675395e-06,-1.205,0.2625,203.377,0
0.1934,0.0,3.665837766675395e-06,-1.205,0.2625,203.405,0
0.1947,0.0,3.665837766675395e-06,-1.205,0.2625,203.412,0
0.196,0.0,3.665837766675395e-06,-1.205,0.2625,203.426,0
0.1974,0.0,3.665837766675395e-06,-1.205,0.2625,203.391,0
0.1987,0.0,3.665837766675395e-06,-1.205,0.2625,203.378,0
0.2,0.0,3.665837766675395e-06,-1.205,0.2625,203.38,0
0.2014,0.0,3.665837766675395e-06,-1.205,0.2625,203.384,0
0.2026,0.0,3.665837766675395e-06,-1.205,0.2625,203.387,0
0.2039,0.0,3.665837766675395e-06,-1.205,0.2625,203.426,0
0.2053,0.0,3.665837766675395e-06,-1.205,0.2625,203.386,0
0.2066,0.0,3.665837766675395e-06,-1.205,0.2625,203.374,0
0.2078,0.0,3.665837766675395e-06,-1.205,0.2625,203.433,0
0.2091,0.0,3.665837766675395e-06,-1.205,0.2625,203.351,0
0.2104,0.0,3.665837766675395e-06,-1.205,0.2625,203.392,0
0.2117,0.0,3.665837766675395e-06,-1.205,0.2625,203.414,0
0.2131,0.0,3.665837766675395e-06,-1.205,0.2625,203.382,0
0.2146,0.0,3.665837766675395e-06,-1.205,0.2625,203.378,0
0.2159,0.0,3.665837766675395e-06,-1.205,0.2625,203.379,0
0.2173,0.0,3.665837766675395e-06,-1.205,0.2625,203.375,0
0.2187,0.0,3.665837766675395e-06,-1.205,0.2625,203.4,0
0.22,0.0,3.665837766675395e-06,-1.205,0.2625,203.367,0
0.2213,0.0,3.665837766675395e-06,-1.205,0.2625,203.375,0
0.2227,0.0,3.665837766675395e-06,-1.205,0.2625,203.395,0
0.224,0.0,3.665837766675395e-06,-1.205,0.2625,203.39,0
0.2254,0.0,3.665837766675395e-06,-1.205,0.2625,203.403,0
0.2267,0.0,3.665837766675395e-06,-1.205,0.2625,203.41,0
0.2279,0.0,3.665837766675395e-06,-1.205,0.2625,203.413,0
0.2292,0.0,3.665837766675395e-06,-1.205,0.2625,203.379,0
0.2306,0.0,3.665837766675395e-06,-1.205,0.2625,203.404,0
0.2318,0.0,3.665837766675395e-06,-1.205,0.2625,203.388,0
0.2331,0.0,3.665837766675395e-06,-1.205,0.2625,203.387,0
0.2343,0.0,3.665837766675395e-06,-1.205,0.2625,203.392,0
0.2356,0.0,3.665837766675395e-06,-1.205,0.2625,203.387,0
0.2369,0.0,3.665837766675395e-06,-1.205,0.2625,203.406,0
0.2382,0.0,3.665837766675395e-06,-1.205,0.2625,203.421,0
0.2395,0.0,3.665837766675395e-06,-1.205,0.2625,203.367,0
0.2408,0.0,3.665837766675395e-06,-1.205,0.2625,203.399,0
0.242,0.0,3.665837766675395e-06,-1.205,0.2625,203.369,0
0.2433,0.0,3.665837766675395e-06,-1.205,0.2625,203.401,0
0.2446,0.0,3.665837766675395e-06,-1.205,0.2625,203.382,0
0.2459,0.0,3.665837766675395e-06,-1.205,0.2625,203.403,0
0.2471,0.0,3.665837766675395e-06,-1.205,0.2625,203.393,0
0.2484,0.0,3.665837766675395e-06,-1.205,0.2625,203.413,0
0.2497,0.0,3.665837766675395e-06,-1.205,0.2625,203.356,0
0.251,0.0,3.665837766675395e-06,-1.205,0.2625,203.414,0
0.2522,0.0,3.665837766675395e-06,-1.205,0.2625,203.376,0
0.2535,0.0,3.665837766675395e-06,-1.205,0.2625,203.392,0
0.2548,0.0,3.665837766675395e-06,-1.205,0.2625,203.416,0
0.256,0.0,3.665837766675395e-06,-1.205,0.2625,203.393,0
0.2573,0.0,3.665837766675395e-06,-1.205,0.2625,203.392,0
0.2586,0.0,3.665837766675395e-06,-1.205,0.2625,203.383,0
0.2599,0.0,3.665837766675395e-06,-1.205,0.2625,203.358,0
0.2612,0.0,3.665837766675395e-06,-1.205,0.2625,203.405,0
0.2624,0.0,3.665837766675395e-06,-1.205,0.2625,203.374,0
0.2637,0.0,3.665837766675395e-06,-1.205,0.2625,203.403,0
0.265,0.0,3.665837766675395e-06,-1.205,0.2625,203.398,0
0.2663,0.0,3.665837766675395e-06,-1.205,0.2625,203.394,0
0.2677,0.0,3.665837766675395e-06,-1.205,0.2625,203.405,0
0.2689,0.0,3.665837766675395e-06,-1.205,0.2625,203.36,0
0.2702,0.0,3.665837766675395e-06,-1.205,0.2625,203.412,0
0.2716,0.0,3.665837766675395e-06,-1.205,0.2625,203.396,0
0.2729,0.0,3.665837766675395e-06,-1.205,0.2625,203.377,0
0.2742,0.0,3.665837766675395e-06,-1.205,0.2625,203.4,0
0.2756,0.0,3.665837766675395e-06,-1.205,0.2625,203.417,0
0.2768,0.0,3.665837766675395e-06,-1.205,0.2625,203.392,0
0.2781,0.0,3.665837766675395e-06,-1.205,0.2625,203.391,0
0.2793,0.0,3.665837766675395e-06,-1.205,0.2625,203.409,0
0.2806,0.0,3.665837766675395e-06,-1.205,0.2625,203.384,0
0.2819,0.0,3.665837766675395e-06,-1.205,0.2625,203.399,0
0.2831,0.0,3.665837766675395e-06,-1.205,0.2625,203.417,0
0.2844,0.0,3.665837766675395e-06,-1.205,0.2625,203.371,0
0.2857,0.0,3.665837766675395e-06,-1.205,0.2625,203.422,0
0.287,0.0,3.665837766675395e-06,-1.205,0.2625,203.397,0
0.2883,0.0,3.665837766675395e-06,-1.205,0.2625,203.392,0
0.2896,0.0,3.665837766675395e-06,-1.205,0.2625,203.383,0
0.2908,0.0,3.665837766675395e-06,-1.205,0.2625,203.374,0
0.2921,0.0,3.665837766675395e-06,-1.205,0.2625,203.396,0
0.2934,0.0,3.665837766675395e-06,-1.205,0.2625,203.4,0
0.2946,0.0,3.665837766675395e-06,-1.205,0.2625,203.394,0
0.2959,0.0,3.665837766675395e-06,-1.205,0.2625,203.395,0
0.2972,0.0,3.665837766675395e-06,-1.205,0.2625,203.387,0
0.2985,0.0,3.665837766675395e-06,-1.205,0.2625,203.415,0
0.2998,0.0,3.665837766675395e-06,-1.205,0.2625,203.4,0
0.3011,0.0,3.665837766675395e-06,-1.205,0.2625,203.375,0
0.3024,0.0,3.665837766675395e-06,-1.205,0.2625,203.422,0
0.3036,0.0,3.665837766675395e-06,-1.205,0.2625,203.377,0
0.305,0.0,3.665837766675395e-06,-1.205,0.2625,203.386,0
0.3063,0.0,3.665837766675395e-06,-1.205,0.2625,203.361,0
0.3076,0.0,3.665837766675395e-06,-1.205,0.2625,203.387,0
0.3089,0.0,3.665837766675395e-06,-1.205,0.2625,203.39,0
0.3102,0.0,3.665837766675395e-06,-1.205,0.2625,203.377,0
0.3115,0.0,3.665837766675395e-06,-1.205,0.2625,203.42,0
0.3128,0.0,3.665837766675395e-06,-1.205,0.2625,203.423,0
0.3142,0.0,3.665837766675395e-06,-1.205,0.2625,203.407,0
0.3156,0.0,3.665837766675395e-06,-1.205,0.2625,203.366,0
0.3168,0.0,3.665837766675395e-06,-1.205,0.2625,203.418,0
0.3181,0.0,3.665837766675395e-06,-1.205,0.2625,203.38,0
0.3195,0.0,3.665837766675395e-06,-1.205,0.2625,203.405,0
0.3208,0.0,3.665837766675395e-06,-1.205,0.2625,203.413,0
0.322,0.0,3.665837766675395e-06,-1.205,0.2625,203.382,0
0.3234,0.0,3.665837766675395e-06,-1.205,0.2625,203.398,0
0.3246,0.0,3.665837766675395e-06,-1.205,0.2625,203.37,0
0.3259,0.0,3.665837766675395e-06,-1.205,0.2625,203.383,0
0.3272,0.0,3.665837766675395e-06,-1.205,0.2625,203.414,0
0.3286,0.0,3.665837766675395e-06,-1.205,0.2625,203.373,0
0.33,0.0,3.665837766675395e-06,-1.205,0.2625,203.41,0
0.3313,0.0,3.665837766675395e-06,-1.205,0.2625,203.401,0
0.3327,0.0,3.665837766675395e-06,-1.205,0.2625,203.404,0
0.3343,0.0,3.665837766675395e-06,-1.205,0.2625,203.36,0
0.3356,0.0,3.665837766675395e-06,-1.205,0.2625,203.381,0
0.3368,0.0,3.665837766675395e-06,-1.205,0.2625,203.385,0
