t_s,kp,kd,dir,setpoint,mode,position_rev_out,velocity_rps_out,torque_Nm_out,q_current_A,d_current_A,bus_voltage_V,power_W,bus_current_A_derived,fet_temp_C,motor_temp_C,fault,orbis_position_rev_out,orbis_velocity_rps_out,encoder_validity
0.0,4000,80,1,7.698440555908019,0,7.6984405517578125,-1.3090450011077337e-05,0.0,-0.36558064818382263,0.9251350164413452,23.5,0.0,0.0,34.0,nan,0,0.9229736924171448,-0.0006545225041918457,nan
0.021,4000,80,1,7.699494828807656,10,7.6984405517578125,-1.3090450011077337e-05,0.32073551416397095,0.06277283281087875,-0.059751223772764206,23.5,-0.009677333757281303,-0.00041180143648005544,34.0,nan,0,0.9229736924171448,-0.0006545225041918457,nan
0.041,4000,80,1,7.700493947557698,10,7.6984405517578125,-1.3090450011077337e-05,0.6110942363739014,0.11960045993328094,0.07100723683834076,23.5,0.059032030403614044,0.0025120012937708104,34.0,nan,0,0.9229736924171448,-0.0006545225041918457,nan
0.06,4000,80,1,7.701448868407898,10,7.698455810546875,0.00021334324264898896,2.6575424671173096,0.5201215744018555,0.09646226465702057,23.5,0.255771279335022,0.010883884227022212,34.0,nan,0,0.9231696724891663,-0.0026217964477837086,nan
0.081,4000,80,1,7.702496770507424,10,7.6984710693359375,0.0025876208674162626,4.389321327209473,0.8590571284294128,0.02334916591644287,23.5,0.7138650417327881,0.030377235818416514,34.0,nan,0,0.9244570136070251,0.12309899181127548,nan
0.1,4000,80,1,7.703458543407761,10,7.698577880859375,0.007006247527897358,6.222929954528809,1.2179222106933594,0.07248334586620331,23.5,1.3824801445007324,0.0588289423191801,34.0,nan,0,0.9293745160102844,0.4673760235309601,nan
0.121,4000,80,1,7.704493785058004,10,7.698944091796875,0.024086419492959976,5.615119457244873,1.0989644527435303,-0.15528368949890137,23.5,1.7710429430007935,0.07536352948939547,34.0,nan,0,0.9478948712348938,1.5253098011016846,nan
0.141,4000,80,1,7.7054935559077435,10,7.6995391845703125,0.024112794548273087,6.1915106773376465,1.2117730379104614,0.07596544921398163,23.5,1.9479471445083618,0.08289136785141965,34.0,nan,0,0.9777762293815613,1.2351206541061401,nan
0.161,4000,80,1,7.706494764257515,10,7.7002105712890625,0.04106384515762329,6.913304328918457,1.353039026260376,0.08333185315132141,23.5,2.824362277984619,0.12018562885040933,34.0,nan,0,0.011220504529774189,2.364758014678955,nan
0.181,4000,80,1,7.707493337157941,10,7.7010345458984375,0.033877626061439514,8.769012451171875,1.6768922805786133,-0.027778971940279007,23.5,3.0493836402893066,0.12976100596975773,34.0,nan,0,0.052417024970054626,1.6972256898880005,nan
0.201,4000,80,1,7.708492743407989,10,7.701995849609375,0.05862031504511833,7.986368179321289,1.5630539655685425,-0.13285216689109802,23.5,3.4224178791046143,0.1456348033661538,34.0,nan,0,0.10081260651350021,3.236849308013916,nan
0.221,4000,80,1,7.709492293407677,10,7.7031097412109375,0.06142142787575722,7.6240153312683105,1.589261531829834,0.03726014494895935,23.5,4.436282634735107,0.18877798445681307,34.0,nan,0,0.15657496452331543,3.6198132038116455,nan
0.24,4000,80,1,7.710451749657661,10,7.7045440673828125,0.07409179210662842,6.168643951416016,1.207297682762146,-0.08911958336830139,23.5,3.582021713256836,0.1524264558832696,34.0,nan,0,0.22828112542629242,4.111473560333252,nan
0.261,4000,80,1,7.711498630907593,10,7.7063446044921875,0.08542449027299881,5.547135829925537,1.0856590270996094,0.09953825175762177,23.5,3.03383207321167,0.12909923715794341,34.0,nan,0,0.3184855282306671,4.68284273147583,nan
0.281,4000,80,1,7.712494583007358,10,7.7081451416015625,0.09369414299726486,3.1054627895355225,0.5666942596435547,-0.12801004946231842,23.5,1.4260129928588867,0.06068140395144199,34.0,nan,0,0.4082539677619934,4.431518077850342,nan
0.3,4000,80,1,7.713464518408003,10,7.7098846435546875,0.0892672911286354,3.9535396099090576,0.7737679481506348,-0.03652894124388695,23.5,1.9799139499664307,0.08425165744538003,34.0,nan,0,0.4952881932258606,4.360797882080078,nan
0.321,4000,80,1,7.714496972557393,10,7.711639404296875,0.07591909915208817,5.752237319946289,1.125800609588623,-0.06926757097244263,23.5,2.5366830825805664,0.10794396096087516,34.0,nan,0,0.5829564332962036,3.731443166732788,nan
0.341,4000,80,1,7.715487983007918,10,7.712982177734375,0.06304869800806046,6.923330783843994,1.3550013303756714,0.040360771119594574,23.5,3.2806930541992188,0.13960395975315826,34.0,nan,0,0.6498894095420837,3.469540596008301,nan
0.361,4000,80,1,7.716476005908047,10,7.7144317626953125,0.07007837295532227,5.630765914916992,1.1020267009735107,-0.008132257498800755,23.5,2.7215936183929443,0.11581249439969976,34.0,nan,0,0.7225250601768494,3.6401751041412354,nan
0.381,4000,80,1,7.717503235057669,10,7.715850830078125,0.05929609015583992,6.092635154724121,1.192421555519104,-0.03652193397283554,23.5,2.50747013092041,0.10670085663491106,34.0,nan,0,0.7937585711479187,3.0759565830230713,nan
0.401,4000,80,1,7.7184816163076935,10,7.71697998046875,0.049238771200180054,6.39114236831665,1.2508440017700195,0.23522844910621643,23.5,2.530540704727173,0.10768258317987969,34.0,nan,0,0.849749743938446,2.512436628341675,nan
0.421,4000,80,1,7.719497974657864,10,7.7181243896484375,0.05267685651779175,5.981144428253174,1.2199862003326416,-0.014863967895507812,23.5,1.8129231929779053,0.07714566778629384,34.0,nan,0,0.907051146030426,2.2761080265045166,nan
0.44,4000,80,1,7.720457197557701,10,7.7191162109375,0.05432291701436043,4.877193450927734,0.9545411467552185,0.02162805199623108,23.5,1.7016860246658325,0.07241217126237585,34.0,nan,0,0.9568600654602051,2.6324102878570557,nan
0.46,4000,80,1,7.721464883007869,10,7.7198333740234375,0.03798239678144455,7.213925361633301,1.4118752479553223,0.00684575317427516,23.5,2.749268054962158,0.11699012999838972,34.0,nan,0,0.9925258159637451,2.260075569152832,nan
0.48,4000,80,1,7.722457399658017,10,7.7208709716796875,0.04375157132744789,7.687094211578369,1.504481554031372,-0.08320280909538269,23.5,2.01173996925354,0.08560595613844851,34.0,nan,0,0.04403747245669365,1.5755397081375122,nan
0.501,4000,80,1,7.723467320507918,10,7.721527099609375,0.042574964463710785,8.349807739257812,1.6341845989227295,-0.06089786812663078,23.5,3.7669925689697266,0.16029755612637134,34.0,nan,0,0.07734948396682739,2.645655393600464,nan
0.521,4000,80,1,7.724498853807747,10,7.7225494384765625,0.03955377638339996,8.909626960754395,1.6590099334716797,0.14155569672584534,23.5,3.438603401184082,0.1463235489865567,34.0,nan,0,0.12823720276355743,1.8539806604385376,nan
0.54,4000,80,1,7.725452697557923,10,7.723602294921875,0.06309854984283447,6.659053802490234,1.3032783269882202,0.09645988047122955,23.5,2.7678303718566895,0.11778001582368891,34.0,nan,0,0.18099507689476013,3.1746227741241455,nan
0.56,4000,80,1,7.726451558007832,10,7.72467041015625,0.06334812194108963,6.660893440246582,1.3036384582519531,-0.22724118828773499,23.5,2.8107995986938477,0.11960849356144032,34.0,nan,0,0.23477762937545776,3.6351373195648193,nan
0.58,4000,80,1,7.727457499657614,10,7.725982666015625,0.06215623766183853,4.616289138793945,0.9034781455993652,-0.011984298937022686,23.5,2.1608693599700928,0.09195188765830183,34.0,nan,0,0.29974183440208435,3.22127628326416,nan
0.6,4000,80,1,7.72845064550784,10,7.7271575927734375,0.05285624414682388,4.560705184936523,0.9841686487197876,-0.06007877737283707,23.5,1.9556572437286377,0.08321945717994203,34.0,nan,0,0.35896962881088257,2.709740161895752,nan
0.621,4000,80,1,7.729493599657874,10,7.72833251953125,0.048869237303733826,3.890242099761963,0.7613796591758728,-0.012581623159348965,23.5,1.499816656112671,0.06382198536649664,34.0,nan,0,0.41732165217399597,2.3079488277435303,nan
0.64,4000,80,1,7.730452710057582,10,7.729461669921875,0.05852200463414192,3.7094075679779053,0.7259876132011414,0.13483639061450958,23.5,1.0357272624969482,0.044073500531785034,34.0,nan,0,0.4738561809062958,2.659285545349121,nan
0.661,4000,80,1,7.731493897557814,10,7.7306060791015625,0.05638885498046875,2.880833387374878,0.5638229846954346,0.04820336028933525,23.5,0.9194939732551575,0.03912740311724074,34.0,nan,0,0.5312595367431641,2.5818610191345215,nan
0.681,4000,80,1,7.732494362157743,10,7.7313232421875,0.03416278213262558,5.489163875579834,1.0743130445480347,-0.18551144003868103,23.5,1.7206931114196777,0.07322098346466714,34.0,nan,0,0.5673677325248718,1.7856813669204712,nan
0.701,4000,80,1,7.733494078807419,10,7.7322845458984375,0.04511821269989014,4.917998790740967,0.9625273942947388,-0.18215757608413696,23.5,1.3031047582626343,0.055451266309048265,34.0,nan,0,0.615368127822876,1.7400574684143066,nan
