step,cmd_Nm,moteus_Nm,iq_A,fet_C,drift_deg
1,2.0,1.995,0.39,41.0,0.0
2,4.0,3.995,0.782,41.0,0.011
3,6.0,5.994,1.173,42.0,0.011
4,8.0,8.004,1.566,42.0,0.5328
5,10.0,9.999,1.958,43.0,0.5603
6,12.0,11.998,2.348,43.0,1.3733
7,14.0,13.999,2.74,44.0,1.3953
8,16.0,16.003,3.132,44.0,1.5601
