t_s,pos_deg,vel_rps,tau_cmd,rotor_phase,fault
0.0011,0.0,9.557094927004073e-06,0.65,0.9797,0
0.0023,0.0,9.557094927004073e-06,0.914,0.9797,0
0.0039,0.0,9.557094927004073e-06,1.253,0.9797,0
0.0049,0.0,9.557094927004073e-06,1.434,0.9797,0
0.0059,0.0,9.557094927004073e-06,1.593,0.9797,0
0.007,0.0,9.557094927004073e-06,1.721,0.9797,0
0.008,0.0,9.557094927004073e-06,1.814,0.9797,0
0.0091,0.0,9.557094927004073e-06,1.871,0.9797,0
0.0101,0.0,9.557094927004073e-06,1.888,0.9797,0
0.0111,0.0,9.557094927004073e-06,1.865,0.9797,0
0.0121,0.0,9.557094927004073e-06,1.808,0.9797,0
0.0131,0.0,9.557094927004073e-06,1.714,0.9797,0
0.0141,0.0,9.557094927004073e-06,1.591,0.9797,0
0.015,0.0,9.557094927004073e-06,1.444,0.9797,0
0.016,0.0,9.557094927004073e-06,1.276,0.9797,0
0.0169,0.0,9.557094927004073e-06,1.089,0.9797,0
0.0179,0.0,9.557094927004073e-06,0.869,0.9797,0
0.0189,0.0,9.557094927004073e-06,0.638,0.9797,0
0.02,0.005,9.397228859597817e-05,0.41,0.9805,0
0.021,0.005,0.0003728975134436041,0.23,0.9805,0
0.0221,0.005,0.0005127732874825597,0.015,0.9805,0
0.0231,0.005,0.0006168996915221214,-0.19,0.9805,0
0.0243,0.005,0.0005357288755476475,-0.435,0.9805,0
0.0253,0.005,0.0003260681696701795,-0.651,0.9805,0
0.0263,0.005,8.873840852174908e-05,-0.848,0.9805,0
0.0273,0.005,-3.277296127635054e-05,-0.989,0.9805,0
0.0284,0.005,-0.0004080196376889944,-1.157,0.9805,0
0.0294,0.0,-0.000857458624523133,-1.296,0.9797,0
0.0304,0.0,-0.001269219908863306,-1.388,0.9797,0
0.0314,0.0,-0.0016130941221490502,-1.428,0.9797,0
0.0324,0.0,-0.0019146384438499808,-1.423,0.9797,0
0.0334,0.0,-0.002415191847831011,-1.426,0.9797,0
0.0345,-0.005,-0.002828881610184908,-1.371,0.9789,0
0.0355,-0.005,-0.0033646333031356335,-1.308,0.9789,0
0.0366,-0.011,-0.004223997704684734,-1.285,0.9782,0
0.0376,-0.011,-0.005005863960832357,-1.227,0.9782,0
0.0385,-0.016,-0.005723853129893541,-1.148,0.9774,0
0.0395,-0.016,-0.006195819471031427,-1.012,0.9774,0
0.0405,-0.022,-0.006909768562763929,-0.909,0.9767,0
0.0414,-0.022,-0.0074913096614181995,-0.784,0.9767,0
0.0424,-0.027,-0.007796495221555233,-0.619,0.9759,0
0.0433,-0.027,-0.008202686905860901,-0.48,0.9759,0
0.0444,-0.033,-0.00858228001743555,-0.33,0.9751,0
0.0455,-0.038,-0.008637495338916779,-0.156,0.9744,0
0.0464,-0.038,-0.008589472621679306,-0.014,0.9744,0
0.0474,-0.044,-0.008202043361961842,0.155,0.9736,0
0.0484,-0.044,-0.007745932787656784,0.303,0.9736,0
0.0493,-0.044,-0.006951609160751104,0.479,0.9736,0
0.0503,-0.049,-0.006132952868938446,0.634,0.9728,0
0.0513,-0.049,-0.004948018584400415,0.827,0.9728,0
0.0523,-0.049,-0.0037361495196819305,1.002,0.9728,0
0.0533,-0.049,-0.0027115975972265005,1.114,0.9728,0
0.0543,-0.044,-0.0019033787539228797,1.148,0.9736,0
0.0553,-0.044,-0.0009246460977010429,1.198,0.9736,0
0.0563,-0.044,-0.00025100790662690997,1.155,0.9736,0
0.0573,-0.044,0.0003162084030918777,1.075,0.9736,0
0.0583,-0.044,0.0006969643873162568,0.937,0.9736,0
0.0593,-0.044,0.0009536379366181791,0.756,0.9736,0
0.0603,-0.044,0.0008891175966709852,0.508,0.9736,0
0.0614,-0.044,0.0007128801662474871,0.222,0.9736,0
0.0624,-0.044,0.0006232004961930215,-0.024,0.9736,0
0.0634,-0.044,0.0006011631339788437,-0.243,0.9736,0
0.0644,-0.044,0.000494894222356379,-0.468,0.9736,0
0.0654,-0.044,0.00023387433611787856,-0.687,0.9736,0
0.0663,-0.044,-6.999590550549328e-05,-0.888,0.9736,0
0.0673,-0.044,-0.0005721714696846902,-1.103,0.9736,0
0.0683,-0.044,-0.0010333637474104762,-1.283,0.9736,0
0.0694,-0.044,-0.0013222058769315481,-1.392,0.9736,0
0.0703,-0.044,-0.001501136808656156,-1.436,0.9736,0
0.0713,-0.049,-0.001886177808046341,-1.488,0.9728,0
0.0723,-0.049,-0.002407911466434598,-1.534,0.9728,0
0.0733,-0.049,-0.00309657771140337,-1.578,0.9728,0
0.0743,-0.055,-0.0036113939713686705,-1.547,0.9721,0
0.0753,-0.055,-0.004284511785954237,-1.516,0.9721,0
0.0763,-0.055,-0.0049890330992639065,-1.472,0.9721,0
0.0773,-0.06,-0.00556977791711688,-1.378,0.9713,0
0.0783,-0.06,-0.005939269904047251,-1.216,0.9713,0
0.0793,-0.066,-0.006464064586907625,-1.075,0.9706,0
0.0803,-0.071,-0.006799980998039246,-0.901,0.9698,0
0.0813,-0.071,-0.007154781837016344,-0.736,0.9698,0
0.0823,-0.077,-0.007392172701656818,-0.549,0.969,0
0.0833,-0.077,-0.007453449070453644,-0.345,0.969,0
0.0843,-0.077,-0.007099627051502466,-0.088,0.969,0
0.0853,-0.082,-0.006564854644238949,0.178,0.9683,0
0.0863,-0.082,-0.006026409566402435,0.42,0.9683,0
0.0873,-0.082,-0.005193764343857765,0.691,0.9683,0
0.0883,-0.082,-0.004356652498245239,0.929,0.9683,0
0.0893,-0.082,-0.0033679723273962736,1.169,0.9683,0
0.0903,-0.082,-0.0023319735191762447,1.388,0.9683,0
0.0913,-0.082,-0.0009429482743144035,1.651,0.9683,0
0.0923,-0.082,0.00013972721353638917,1.815,0.9683,0
0.0933,-0.077,0.0011959578841924667,1.94,0.969,0
0.0943,-0.077,0.0019092325819656253,1.958,0.969,0
0.0953,-0.077,0.002527441130951047,1.929,0.969,0
0.0963,-0.071,0.003053459571674466,1.851,0.9698,0
0.0973,-0.071,0.00341621832922101,1.709,0.9698,0
0.0983,-0.071,0.003486186731606722,1.507,0.9698,0
0.0993,-0.071,0.003504061372950673,1.285,0.9698,0
0.1003,-0.066,0.003476942889392376,1.046,0.9706,0
0.1013,-0.066,0.0031927230302244425,0.757,0.9706,0
0.1023,-0.066,0.002815516898408532,0.451,0.9706,0
0.1033,-0.066,0.0021904525347054005,0.11,0.9706,0
0.1043,-0.066,0.0016287453472614288,-0.206,0.9706,0
0.1053,-0.066,0.0011114802910014987,-0.487,0.9706,0
0.1063,-0.066,0.0005266341613605618,-0.754,0.9706,0
0.1073,-0.071,-0.00013277160178404301,-1.011,0.9698,0
0.1083,-0.071,-0.0009645582758821547,-1.268,0.9698,0
0.1093,-0.071,-0.0017134598456323147,-1.471,0.9698,0
0.1103,-0.071,-0.002299652434885502,-1.603,0.9698,0
0.1113,-0.077,-0.003083079354837537,-1.733,0.969,0
0.1123,-0.077,-0.0037057565059512854,-1.792,0.969,0
0.1133,-0.082,-0.004282154608517885,-1.807,0.9683,0
0.1143,-0.082,-0.0047594462521374226,-1.77,0.9683,0
0.1153,-0.082,-0.005258530844002962,-1.702,0.9683,0
0.1163,-0.088,-0.005748860538005829,-1.608,0.9675,0
0.1173,-0.088,-0.006322688423097134,-1.493,0.9675,0
0.1184,-0.093,-0.007010375149548054,-1.385,0.9667,0
0.1194,-0.099,-0.007653743028640747,-1.252,0.966,0
0.1203,-0.099,-0.008049924857914448,-1.09,0.966,0
0.1213,-0.104,-0.008496241644024849,-0.926,0.9652,0
0.1223,-0.11,-0.008802071213722229,-0.752,0.9644,0
0.1233,-0.11,-0.00884994026273489,-0.551,0.9644,0
0.1243,-0.115,-0.008903197944164276,-0.362,0.9637,0
0.1253,-0.115,-0.008846084587275982,-0.181,0.9637,0
0.1263,-0.121,-0.008338980376720428,0.043,0.9629,0
0.1273,-0.121,-0.007611259818077087,0.274,0.9629,0
0.1283,-0.121,-0.006730378605425358,0.502,0.9629,0
0.1293,-0.126,-0.005692175589501858,0.733,0.9622,0
0.1303,-0.126,-0.004421233665198088,0.977,0.9622,0
0.1313,-0.121,-0.0031827965285629034,1.19,0.9629,0
0.1323,-0.121,-0.002024734625592828,1.362,0.9629,0
0.1333,-0.121,-0.0007390404352918267,1.531,0.9629,0
0.1343,-0.121,0.00028545036911964417,1.609,0.9629,0
0.1353,-0.121,0.0010030101984739304,1.596,0.9629,0
0.1364,-0.115,0.0014841583324596286,1.498,0.9637,0
0.1374,-0.115,0.0017656239215284586,1.345,0.9637,0
0.1384,-0.115,0.0020707796793431044,1.185,0.9637,0
0.1394,-0.115,0.002162663033232093,0.978,0.9637,0
0.1404,-0.115,0.0022262653801590204,0.745,0.9637,0
0.1414,-0.115,0.0019421676406636834,0.465,0.9637,0
0.1423,-0.115,0.0015701657393947244,0.175,0.9637,0
0.1433,-0.115,0.0011917054653167725,-0.109,0.9637,0
0.1443,-0.115,0.000875163939781487,-0.379,0.9637,0
0.1454,-0.115,0.0006069819210097194,-0.615,0.9637,0
0.1464,-0.115,0.00030754972249269485,-0.818,0.9637,0
0.1473,-0.115,-0.00011360806820448488,-1.016,0.9637,0
0.1483,-0.115,-0.0006081011961214244,-1.195,0.9637,0
0.1493,-0.115,-0.0009417830151505768,-1.309,0.9637,0
0.1503,-0.115,-0.001323794131167233,-1.397,0.9637,0
0.1513,-0.115,-0.0017980249831452966,-1.466,0.9637,0
