phase,t_s,encoder0,position,fault
still,0.0766,0.3009642958641052,0.006011962890625,0
still,0.0773,0.3009642958641052,0.006011962890625,0
still,0.078,0.3009642958641052,0.006011962890625,0
still,0.0787,0.3009642958641052,0.006011962890625,0
still,0.0794,0.3009642958641052,0.006011962890625,0
still,0.0801,0.3009642958641052,0.006011962890625,0
still,0.0807,0.3009642958641052,0.006011962890625,0
still,0.0815,0.3009642958641052,0.006011962890625,0
still,0.0822,0.3009642958641052,0.006011962890625,0
still,0.0828,0.3009642958641052,0.006011962890625,0
still,0.0835,0.3009642958641052,0.006011962890625,0
still,0.0842,0.3009642958641052,0.006011962890625,0
still,0.0849,0.3009642958641052,0.006011962890625,0
still,0.0856,0.3009642958641052,0.006011962890625,0
still,0.0862,0.3009642958641052,0.006011962890625,0
still,0.0869,0.3009642958641052,0.006011962890625,0
still,0.0876,0.3009642958641052,0.006011962890625,0
still,0.0883,0.3009642958641052,0.006011962890625,0
still,0.089,0.3009642958641052,0.006011962890625,0
still,0.0897,0.3009642958641052,0.006011962890625,0
still,0.0904,0.3009642958641052,0.006011962890625,0
still,0.0911,0.3009642958641052,0.006011962890625,0
still,0.0918,0.3009642958641052,0.006011962890625,0
still,0.0925,0.3009642958641052,0.006011962890625,0
still,0.0932,0.3009642958641052,0.006011962890625,0
still,0.0939,0.3009642958641052,0.006011962890625,0
still,0.0946,0.3009642958641052,0.006011962890625,0
still,0.0953,0.3009642958641052,0.006011962890625,0
still,0.096,0.3009642958641052,0.006011962890625,0
still,0.0966,0.3009642958641052,0.006011962890625,0
still,0.0973,0.3009642958641052,0.006011962890625,0
still,0.098,0.3009642958641052,0.006011962890625,0
still,0.0987,0.3009642958641052,0.006011962890625,0
still,0.0994,0.3009642958641052,0.006011962890625,0
still,0.1001,0.3009642958641052,0.006011962890625,0
still,0.1007,0.3009642958641052,0.006011962890625,0
still,0.1014,0.3009642958641052,0.006011962890625,0
still,0.1021,0.3009642958641052,0.006011962890625,0
still,0.1028,0.3009642958641052,0.006011962890625,0
still,0.1038,0.3009642958641052,0.006011962890625,0
still,0.1046,0.3009642958641052,0.006011962890625,0
still,0.1052,0.3009642958641052,0.006011962890625,0
still,0.1059,0.3009642958641052,0.006011962890625,0
still,0.1065,0.3009642958641052,0.006011962890625,0
still,0.1072,0.3009642958641052,0.006011962890625,0
still,0.1079,0.3009642958641052,0.006011962890625,0
still,0.1085,0.3009642958641052,0.006011962890625,0
still,0.1092,0.3009642958641052,0.006011962890625,0
still,0.1098,0.3009642958641052,0.006011962890625,0
still,0.1105,0.3009642958641052,0.006011962890625,0
still,0.1112,0.3009642958641052,0.006011962890625,0
still,0.1119,0.3009642958641052,0.006011962890625,0
still,0.1126,0.3009642958641052,0.006011962890625,0
still,0.1133,0.3009642958641052,0.006011962890625,0
still,0.114,0.3009642958641052,0.006011962890625,0
still,0.1146,0.3009642958641052,0.006011962890625,0
still,0.1153,0.3009642958641052,0.006011962890625,0
still,0.116,0.3009642958641052,0.006011962890625,0
still,0.1167,0.3009642958641052,0.006011962890625,0
still,0.1174,0.3009642958641052,0.006011962890625,0
still,0.118,0.3009642958641052,0.006011962890625,0
still,0.1187,0.3009642958641052,0.006011962890625,0
still,0.1194,0.3009642958641052,0.006011962890625,0
still,0.1201,0.3009642958641052,0.006011962890625,0
still,0.1208,0.3009642958641052,0.006011962890625,0
still,0.1216,0.3009642958641052,0.006011962890625,0
still,0.1223,0.3009642958641052,0.006011962890625,0
still,0.123,0.3009642958641052,0.006011962890625,0
still,0.1237,0.3009642958641052,0.006011962890625,0
still,0.1244,0.3009642958641052,0.006011962890625,0
still,0.1251,0.3009642958641052,0.006011962890625,0
still,0.1257,0.3009642958641052,0.006011962890625,0
still,0.1264,0.3009642958641052,0.006011962890625,0
still,0.127,0.3009642958641052,0.006011962890625,0
still,0.1277,0.3009642958641052,0.006011962890625,0
still,0.1283,0.3009642958641052,0.006011962890625,0
still,0.1289,0.3009642958641052,0.006011962890625,0
still,0.1296,0.3009642958641052,0.006011962890625,0
still,0.1302,0.3009642958641052,0.006011962890625,0
still,0.1309,0.3009642958641052,0.006011962890625,0
still,0.1316,0.3009642958641052,0.006011962890625,0
still,0.1323,0.3009642958641052,0.006011962890625,0
still,0.1329,0.3009642958641052,0.006011962890625,0
still,0.1336,0.3009642958641052,0.006011962890625,0
still,0.1342,0.3009642958641052,0.006011962890625,0
still,0.1349,0.3009642958641052,0.006011962890625,0
still,0.1356,0.3009642958641052,0.006011962890625,0
still,0.1363,0.3009642958641052,0.006011962890625,0
still,0.1369,0.3009642958641052,0.006011962890625,0
still,0.1376,0.3009642958641052,0.006011962890625,0
still,0.1383,0.3009642958641052,0.006011962890625,0
still,0.139,0.3009642958641052,0.006011962890625,0
still,0.1397,0.3009642958641052,0.006011962890625,0
still,0.1404,0.3009642958641052,0.006011962890625,0
still,0.141,0.3009642958641052,0.006011962890625,0
still,0.1417,0.3009642958641052,0.006011962890625,0
still,0.1424,0.3009642958641052,0.006011962890625,0
still,0.1431,0.3009642958641052,0.006011962890625,0
still,0.1438,0.3009642958641052,0.006011962890625,0
still,0.1446,0.3009642958641052,0.006011962890625,0
still,0.1453,0.3009642958641052,0.006011962890625,0
still,0.1459,0.3009642958641052,0.006011962890625,0
still,0.1466,0.3009642958641052,0.006011962890625,0
still,0.1473,0.3009642958641052,0.006011962890625,0
still,0.1479,0.3009642958641052,0.006011962890625,0
still,0.1486,0.3009642958641052,0.006011962890625,0
still,0.1493,0.3009642958641052,0.006011962890625,0
still,0.15,0.3009642958641052,0.006011962890625,0
still,0.1506,0.3009642958641052,0.006011962890625,0
still,0.1513,0.3009642958641052,0.006011962890625,0
still,0.152,0.3009642958641052,0.006011962890625,0
still,0.1527,0.3009642958641052,0.006011962890625,0
still,0.1533,0.3009642958641052,0.006011962890625,0
still,0.154,0.3009642958641052,0.006011962890625,0
still,0.1547,0.3009642958641052,0.006011962890625,0
still,0.1554,0.3009642958641052,0.006011962890625,0
still,0.156,0.3009642958641052,0.006011962890625,0
still,0.1567,0.3009642958641052,0.006011962890625,0
still,0.1574,0.3009642958641052,0.006011962890625,0
still,0.1581,0.3009642958641052,0.006011962890625,0
still,0.1587,0.3009642958641052,0.006011962890625,0
still,0.1594,0.3009642958641052,0.006011962890625,0
still,0.1601,0.3009642958641052,0.006011962890625,0
still,0.1608,0.3009642958641052,0.006011962890625,0
still,0.1615,0.3009642958641052,0.006011962890625,0
still,0.1622,0.3009642958641052,0.006011962890625,0
still,0.1629,0.3009642958641052,0.006011962890625,0
still,0.1636,0.3009642958641052,0.006011962890625,0
