t_s,pos_deg,vel_rps,tau_cmd,rotor_phase,e1_deg,fault
0.0014,0.0,3.593514293243061e-06,-0.295,0.4532,201.785,0
0.0041,0.0,3.593514293243061e-06,-0.295,0.4532,201.768,0
0.0054,0.0,3.593514293243061e-06,-0.295,0.4532,201.792,0
0.0067,0.0,3.593514293243061e-06,-0.295,0.4532,201.793,0
0.008,0.0,3.593514293243061e-06,-0.295,0.4532,201.807,0
0.0093,0.0,3.593514293243061e-06,-0.295,0.4532,201.761,0
0.0105,0.0,3.593514293243061e-06,-0.295,0.4532,201.755,0
0.0118,0.0,3.593514293243061e-06,-0.295,0.4532,201.773,0
0.0132,0.0,3.593514293243061e-06,-0.295,0.4532,201.77,0
0.0144,0.0,3.593514293243061e-06,-0.295,0.4532,201.803,0
0.0157,0.0,3.593514293243061e-06,-0.295,0.4532,201.784,0
0.017,0.0,3.593514293243061e-06,-0.295,0.4532,201.823,0
0.0184,0.0,3.593514293243061e-06,-0.295,0.4532,201.778,0
0.0196,0.0,3.593514293243061e-06,-0.295,0.4532,201.747,0
0.0211,0.0,3.593514293243061e-06,-0.295,0.4532,201.785,0
0.0223,0.0,3.593514293243061e-06,-0.295,0.4532,201.781,0
0.0236,0.0,3.593514293243061e-06,-0.295,0.4532,201.774,0
0.0249,0.0,3.593514293243061e-06,-0.295,0.4532,201.785,0
0.0261,0.0,3.593514293243061e-06,-0.295,0.4532,201.797,0
0.0274,0.0,3.593514293243061e-06,-0.295,0.4532,201.806,0
0.0286,0.0,3.593514293243061e-06,-0.295,0.4532,201.745,0
0.0299,0.0,3.593514293243061e-06,-0.295,0.4532,201.808,0
0.0312,0.0,3.593514293243061e-06,-0.295,0.4532,201.742,0
0.0324,0.0,3.593514293243061e-06,-0.295,0.4532,201.759,0
0.0337,0.0,3.593514293243061e-06,-0.295,0.4532,201.795,0
0.035,0.0,3.593514293243061e-06,-0.295,0.4532,201.763,0
0.0362,0.0,3.593514293243061e-06,-0.295,0.4532,201.777,0
0.0375,0.0,3.593514293243061e-06,-0.295,0.4532,201.757,0
0.0387,0.0,-0.00012299868103582412,-0.312,0.4532,201.783,0
0.0401,0.0,-0.00022602317039854825,-0.325,0.4532,201.812,0
0.0413,0.0,-0.00019755828543566167,-0.322,0.4532,201.774,0
0.0427,0.0,-0.00014319959154818207,-0.314,0.4532,201.774,0
0.0441,0.0,-9.257495548808947e-05,-0.308,0.4532,201.798,0
0.0454,0.0,-5.8845598687184975e-05,-0.303,0.4532,201.792,0
0.0466,0.0,-3.576761810109019e-05,-0.3,0.4532,201.805,0
