t_s,leg,tgt_deg,pos_deg,vel_rps,torque_Nm,iq_A,bus_V,fet_C,fault
0.001,1,160.0,0.0,3.296553074960684e-07,0.0,1.2704071998596191,23.654146194458008,35.0,0
0.007,1,160.0,0.0,3.296553074960684e-07,0.0,-0.02197164110839367,23.636198043823242,36.0,0
0.012,1,160.0,0.0,3.296553074960684e-07,0.0,1.4451491114897408e-09,23.654146194458008,35.0,0
0.017,1,160.0,0.0,3.296553074960684e-07,0.0,-0.04394328221678734,23.654146194458008,35.0,0
0.022,1,160.0,0.0,3.296553074960684e-07,0.11226331442594528,0.02197164110839367,23.636198043823242,35.0,0
0.027,1,160.0,0.0,3.296553074960684e-07,0.45613688230514526,0.08927294611930847,23.636198043823242,35.0,0
0.032,1,160.0,0.0,3.296553074960684e-07,0.5684002041816711,0.11124458909034729,23.636198043823242,35.0,0
0.037,1,160.0,0.0,3.296553074960684e-07,0.1544068604707718,0.030219776555895805,23.654146194458008,35.0,0
0.042,1,160.0,0.0,3.296553074960684e-07,1.5228174924850464,0.2980386018753052,23.654146194458008,36.0,0
0.047,1,160.0,0.0,3.296553074960684e-07,0.3438735902309418,0.06730130314826965,23.654146194458008,36.0,0
0.052,1,160.0,0.0,3.296553074960684e-07,0.8000104427337646,0.15657424926757812,23.636198043823242,35.0,0
0.057,1,160.0,0.0,3.296553074960684e-07,1.445614218711853,0.2829287350177765,23.654146194458008,35.0,0
0.062,1,160.0,0.0,0.00022835478011984378,1.56093168258667,0.3054981231689453,23.654146194458008,35.0,0
0.067,1,160.0,0.0,6.876780389575288e-05,1.6369736194610596,0.32038068771362305,23.636198043823242,36.0,0
0.072,1,160.0,0.0,1.0124030268343631e-05,2.245288372039795,0.4394371509552002,23.654146194458008,35.0,0
0.077,1,160.0,0.0,0.000439362192992121,2.2444567680358887,0.3872884213924408,23.636198043823242,35.0,0
0.082,1,160.0,0.0,0.00012630964920390397,2.775477409362793,0.5432032346725464,23.636198043823242,35.0,0
0.087,1,160.0,0.0,0.00014528623432852328,3.3542566299438477,0.6564791202545166,23.636198043823242,36.0,0
0.092,1,160.0,0.0,0.0003685977717395872,2.839381694793701,0.5557103157043457,23.636198043823242,35.0,0
0.097,1,160.0,0.0055,0.00048545681056566536,3.6913697719573975,0.7224572896957397,23.636198043823242,35.0,0
0.102,1,160.0,0.0055,0.00048790531582199037,3.890214204788208,0.7613741755485535,23.654146194458008,36.0,0
0.107,1,160.0,0.0055,0.0009080225136131048,3.8329858779907227,0.7501737475395203,23.636198043823242,35.0,0
0.112,1,160.0,0.0055,0.0011066030710935593,4.097313404083252,0.8019067049026489,23.654146194458008,35.0,0
0.117,1,160.0,0.011,0.0011825094697996974,3.7964706420898438,0.7430271506309509,23.654146194458008,35.0,0
0.122,1,160.0,0.011,0.0012999804457649589,4.821552753448486,0.9436513781547546,23.636198043823242,35.0,0
0.127,1,160.0,0.0165,0.0023291227407753468,6.6772027015686035,1.3068304061889648,23.636198043823242,35.0,0
0.132,1,160.0,0.022,0.0016931624850258231,6.160578727722168,1.205719232559204,23.654146194458008,35.0,0
0.137,1,160.0,0.022,0.0011277823941782117,6.6683807373046875,1.3051037788391113,23.654146194458008,35.0,0
0.142,1,160.0,0.0275,0.0022495437879115343,6.906018257141113,1.3516130447387695,23.654146194458008,36.0,0
0.147,1,160.0,0.033,0.003917341120541096,7.933889865875244,1.5527832508087158,23.636198043823242,36.0,0
0.152,1,160.0,0.0385,0.004116595257073641,4.534879684448242,0.887545108795166,23.654146194458008,36.0,0
0.157,1,160.0,0.0494,0.005339665338397026,7.187147617340088,1.4066343307495117,23.654146194458008,36.0,0
0.162,1,160.0,0.0659,0.007802949752658606,7.823482990264893,1.531174898147583,23.636198043823242,35.0,0
0.167,1,160.0,0.0824,0.00945348385721445,8.376096725463867,1.6393299102783203,23.636198043823242,35.0,0
0.172,1,160.0,0.0989,0.007218163460493088,9.087309837341309,1.7785251140594482,23.654146194458008,36.0,0
0.177,1,160.0,0.1044,0.005482295528054237,10.698881149291992,2.0939340591430664,23.636198043823242,36.0,0
0.182,1,160.0,0.1154,0.006714183371514082,9.047061920166016,1.7706478834152222,23.636198043823242,35.0,0
0.187,1,160.0,0.1428,0.013094354420900345,8.681459426879883,1.6990938186645508,23.636198043823242,35.0,0
0.191,1,160.0,0.1813,0.018371254205703735,7.71412992477417,1.509772777557373,23.636198043823242,36.0,0
0.197,1,160.0,0.2197,0.021105775609612465,6.394437789916992,1.2514889240264893,23.654146194458008,36.0,0
0.202,1,160.0,0.2527,0.018619105219841003,7.809837818145752,1.5285043716430664,23.61825180053711,35.0,0
0.207,1,160.0,0.2966,0.02287886291742325,5.743648052215576,1.124119520187378,23.636198043823242,35.0,0
0.212,1,160.0,0.3516,0.02983911521732807,5.844873905181885,1.1439309120178223,23.654146194458008,36.0,0
0.217,1,160.0,0.4065,0.028565596789121628,5.214205265045166,1.0204994678497314,23.636198043823242,36.0,0
0.222,1,160.0,0.4504,0.02620680443942547,5.888974666595459,1.152562141418457,23.654146194458008,36.0,0
0.227,1,160.0,0.4944,0.026395346969366074,5.57033109664917,1.0901987552642822,23.636198043823242,36.0,0
0.232,1,160.0,0.5383,0.0245201513171196,7.001331329345703,1.3702672719955444,23.654146194458008,35.0,0
0.237,1,160.0,0.5768,0.020557530224323273,7.383545398712158,1.4450724124908447,23.636198043823242,35.0,0
0.242,1,160.0,0.5988,0.015082355588674545,8.558276176452637,1.6749851703643799,23.654146194458008,36.0,0
0.247,1,160.0,0.6207,0.01286888774484396,7.900115013122559,1.5461729764938354,23.636198043823242,36.0,0
0.252,1,160.0,0.6427,0.012163507752120495,9.02230167388916,1.7658019065856934,23.636198043823242,35.0,0
0.257,1,160.0,0.6647,0.01287794578820467,9.340530395507812,1.8280842304229736,23.636198043823242,35.0,0
0.261,1,160.0,0.6976,0.017411572858691216,8.896123886108398,1.7411069869995117,23.636198043823242,36.0,0
0.267,1,160.0,0.7471,0.02486650086939335,8.617283821105957,1.6865336894989014,23.654146194458008,35.0,0
0.272,1,160.0,0.791,0.025011030957102776,8.237175941467285,1.6121410131454468,23.61825180053711,35.0,0
0.277,1,160.0,0.8459,0.028950940817594528,6.62459659576416,1.296534538269043,23.636198043823242,35.0,0
0.282,1,160.0,0.9119,0.03312229365110397,6.196995258331299,1.2105631828308105,23.636198043823242,35.0,0
0.287,1,160.0,0.9723,0.03374950587749481,6.007433891296387,1.1757464408874512,23.654146194458008,36.0,0
0.292,1,160.0,1.0382,0.03545182943344116,5.762704372406006,1.1278491020202637,23.654146194458008,35.0,0
0.297,1,160.0,1.1041,0.036543965339660645,5.862513065338135,1.147383213043213,23.654146194458008,36.0,0
0.302,1,160.0,1.1536,0.030869165435433388,6.369152545928955,1.2465403079986572,23.654146194458008,35.0,0
0.307,1,160.0,1.192,0.02290322259068489,5.591219902038574,1.0942869186401367,23.636198043823242,35.0,0
0.312,1,160.0,1.225,0.02065124921500683,8.082590103149414,1.5818861722946167,23.636198043823242,35.0,0
0.317,1,160.0,1.2854,0.030316147953271866,5.325537204742432,1.0422887802124023,23.636198043823242,35.0,0
0.322,1,160.0,1.3458,0.0339980311691761,5.955766677856445,1.1656343936920166,23.636198043823242,35.0,0
0.327,1,160.0,1.4117,0.034399598836898804,6.259005546569824,1.224982738494873,23.636198043823242,35.0,0
0.332,1,160.0,1.4667,0.033375296741724014,6.01522159576416,1.177270531654358,23.636198043823242,35.0,0
0.337,1,160.0,1.5271,0.03310577571392059,6.48329496383667,1.2688796520233154,23.654146194458008,36.0,0
0.342,1,160.0,1.593,0.036124635487794876,5.472393989562988,1.0710309743881226,23.654146194458008,35.0,0
0.347,1,160.0,1.6589,0.035011693835258484,6.381540775299072,1.248964786529541,23.636198043823242,36.0,0
0.352,1,160.0,1.7084,0.029219426214694977,7.840538024902344,1.5345128774642944,23.654146194458008,35.0,0
0.357,1,160.0,1.7523,0.025362031534314156,8.082381248474121,1.5818451642990112,23.636198043823242,36.0,0
0.362,1,160.0,1.8127,0.032373812049627304,5.0641655921936035,0.9911344051361084,23.654146194458008,35.0,0
0.367,1,160.0,1.8787,0.03703483194112778,6.742825508117676,1.3196736574172974,23.636198043823242,36.0,0
0.372,1,160.0,1.9556,0.03987899050116539,5.179339408874512,1.0136756896972656,23.636198043823242,35.0,0
0.377,1,160.0,2.0215,0.03774351626634598,6.703274726867676,1.3119330406188965,23.654146194458008,36.0,0
0.382,1,160.0,2.0929,0.03972148150205612,5.968554496765137,1.1681370735168457,23.654146194458008,36.0,0
0.387,1,160.0,2.1643,0.04015679284930229,5.019076347351074,0.9823098182678223,23.67209243774414,35.0,0
0.392,1,160.0,2.2247,0.03483109921216965,6.1793293952941895,1.2093889713287354,23.654146194458008,35.0,0
0.397,1,160.0,2.2852,0.032634586095809937,6.418187141418457,1.2561370134353638,23.654146194458008,35.0,0
0.402,1,160.0,2.3621,0.041805487126111984,5.694807529449463,1.114560604095459,23.636198043823242,35.0,0
0.407,1,160.0,2.4609,0.0514422170817852,2.954681158065796,0.5782761573791504,23.654146194458008,36.0,0
0.412,1,160.0,2.5488,0.048961739987134933,2.9677658081054688,0.5808370113372803,23.654146194458008,36.0,0
0.417,1,160.0,2.6312,0.04666135087609291,3.114018678665161,0.6094609498977661,23.654146194458008,35.0,0
0.422,1,160.0,2.7191,0.04713067784905434,2.1431562900543213,0.4194483757019043,23.636198043823242,36.0,0
0.427,1,160.0,2.7905,0.0412769541144371,3.87147855758667,0.7577073574066162,23.654146194458008,35.0,0
0.432,1,160.0,2.8564,0.03886742144823074,4.78430700302124,0.9363617897033691,23.654146194458008,36.0,0
0.437,1,160.0,2.9388,0.0456368625164032,3.452316999435425,0.6756710410118103,23.654146194458008,36.0,0
0.442,1,160.0,3.0267,0.047461047768592834,3.560109853744507,0.6967677474021912,23.636198043823242,36.0,0
0.447,1,160.0,3.1146,0.04684889689087868,3.311638116836548,0.6481381058692932,23.654146194458008,35.0,0
0.452,1,160.0,3.2025,0.04962464049458504,2.6132893562316895,0.511460542678833,23.654146194458008,35.0,0
0.457,1,160.0,3.2849,0.047602031379938126,2.8512604236602783,0.558035135269165,23.654146194458008,35.0,0
0.462,1,160.0,3.3618,0.04279189184308052,4.007117748260498,0.7842540144920349,23.636198043823242,35.0,0
0.467,1,160.0,3.4387,0.04237319529056549,3.7714016437530518,0.7381207942962646,23.636198043823242,36.0,0
0.472,1,160.0,3.5211,0.04497634246945381,3.5129759311676025,0.6875429153442383,23.654146194458008,35.0,0
0.477,1,160.0,3.6035,0.04600853845477104,3.4062552452087402,0.6666560769081116,23.654146194458008,35.0,0
0.482,1,160.0,3.6859,0.04574984312057495,3.6801137924194336,0.7202543616294861,23.636198043823242,36.0,0
0.487,1,160.0,3.7628,0.044168971478939056,3.324939012527466,0.6507412195205688,23.636198043823242,36.0,0
0.492,1,160.0,3.8287,0.039430104196071625,4.257307529449463,0.8332200050354004,23.636198043823242,36.0,0
0.497,1,160.0,3.9056,0.041372399777173996,4.871963977813721,0.9535176157951355,23.636198043823242,36.0,0
0.502,1,160.0,3.9935,0.047451093792915344,3.4121322631835938,0.6678063273429871,23.654146194458008,35.0,0
0.507,1,160.0,4.0979,0.05401894822716713,3.438403844833374,0.6729480624198914,23.636198043823242,35.0,0
0.512,1,160.0,4.1913,0.05232765153050423,3.4243364334106445,0.6701948642730713,23.636198043823242,36.0,0
0.517,1,160.0,4.2737,0.047556016594171524,2.778418779373169,0.5437788963317871,23.636198043823242,35.0,0
0.521,1,160.0,4.3396,0.04243798181414604,4.520838737487793,0.8847970366477966,23.636198043823242,35.0,0
0.527,1,160.0,4.433,0.048278119415044785,3.7532989978790283,0.7345778346061707,23.61825180053711,36.0,0
0.532,1,160.0,4.5319,0.051637522876262665,3.6250061988830566,0.7094689607620239,23.690038681030273,36.0,0
0.537,1,160.0,4.6198,0.05055892467498779,4.403074264526367,0.8617486953735352,23.654146194458008,36.0,0
0.542,1,160.0,4.7076,0.0488647036254406,6.20341682434082,1.2141032218933105,23.654146194458008,35.0,0
0.547,1,160.0,4.7845,0.042841535061597824,6.181483268737793,1.209810495376587,23.654146194458008,36.0,0
0.552,1,160.0,4.8395,0.035682521760463715,7.6980977058410645,1.3706307411193848,23.61825180053711,35.0,0
0.557,1,160.0,4.9274,0.04704056307673454,5.352278709411621,1.0475225448608398,23.636198043823242,36.0,0
0.562,1,160.0,5.0372,0.05698656290769577,3.8175113201141357,0.7471451759338379,23.654146194458008,36.0,0
0.567,1,160.0,5.1361,0.05505921319127083,4.058936595916748,0.7943958044052124,23.636198043823242,35.0,0
0.572,1,160.0,5.224,0.05075153708457947,4.978894233703613,0.9744455814361572,23.654146194458008,36.0,0
0.577,1,160.0,5.3009,0.04394016042351723,5.448625564575195,1.0663790702819824,23.67209243774414,35.0,0
0.582,1,160.0,5.3668,0.03761274367570877,7.255604267120361,1.4200323820114136,23.61825180053711,35.0,0
0.587,1,160.0,5.4602,0.05040363594889641,4.849499225616455,0.9491208791732788,23.636198043823242,35.0,0
0.592,1,160.0,5.5701,0.0578572154045105,4.979421615600586,0.9745486974716187,23.636198043823242,36.0,0
0.597,1,160.0,5.6689,0.055119261145591736,5.159989833831787,1.0098886489868164,23.636198043823242,36.0,0
0.602,1,160.0,5.7513,0.049483709037303925,6.003620147705078,1.1749999523162842,23.636198043823242,36.0,0
0.607,1,160.0,5.8282,0.043561406433582306,7.33470344543457,1.4355132579803467,23.654146194458008,36.0,0
0.612,1,160.0,5.9052,0.04300552234053612,5.505731105804443,1.077555537223816,23.636198043823242,36.0,0
0.617,1,160.0,6.0095,0.05560220032930374,4.233603477478027,0.8285807371139526,23.636198043823242,35.0,0
0.622,1,160.0,6.1194,0.058934494853019714,4.142711639404297,0.8107918500900269,23.654146194458008,36.0,0
0.627,1,160.0,6.2073,0.052083954215049744,3.697544813156128,0.7236658930778503,23.654146194458008,35.0,0
0.632,1,160.0,6.2842,0.04452699422836304,6.488252639770508,1.2698498964309692,23.654146194458008,36.0,0
0.637,1,160.0,6.3501,0.03685189038515091,8.23865032196045,1.6124293804168701,23.61825180053711,36.0,0
0.642,1,160.0,6.427,0.042840588837862015,6.2018256187438965,1.213791847229004,23.636198043823242,35.0,0
0.647,1,160.0,6.5424,0.05837078392505646,4.213316917419434,0.8246104121208191,23.654146194458008,35.0,0
0.652,1,160.0,6.6522,0.06085892394185066,2.6087183952331543,0.5105659365653992,23.654146194458008,36.0,0
0.657,1,160.0,6.7456,0.054445087909698486,3.4892313480377197,0.6828957796096802,23.654146194458008,36.0,0
0.662,1,160.0,6.828,0.04737429693341255,6.453450679779053,1.2630386352539062,23.654146194458008,35.0,0
0.667,1,160.0,6.8884,0.036267612129449844,7.376554489135742,1.4437041282653809,23.654146194458008,36.0,0
0.672,1,160.0,6.9653,0.042231034487485886,6.416972637176514,1.255899429321289,23.636198043823242,36.0,0
0.677,1,160.0,7.0752,0.0571368969976902,4.401850700378418,0.8615093231201172,23.636198043823242,35.0,0
0.682,1,160.0,7.1686,0.05252857506275177,4.853857517242432,0.9499739408493042,23.654146194458008,35.0,0
0.687,1,160.0,7.251,0.046477802097797394,6.738951683044434,1.318915605545044,23.636198043823242,36.0,0
0.692,1,160.0,7.3169,0.03976884111762047,8.860710144042969,1.7341760396957397,23.654146194458008,36.0,0
0.697,1,160.0,7.3718,0.034034550189971924,9.789834022521973,1.9160197973251343,23.636198043823242,36.0,0
0.702,1,160.0,7.4597,0.04536058008670807,6.0948381423950195,1.1928527355194092,23.636198043823242,36.0,0
0.707,1,160.0,7.5641,0.05366847291588783,6.271885871887207,1.2275036573410034,23.636198043823242,36.0,0
0.712,1,160.0,7.663,0.055525802075862885,5.2358293533325195,1.0247316360473633,23.654146194458008,36.0,0
0.717,1,160.0,7.7618,0.05580908805131912,6.3153862953186035,1.2360173463821411,23.654146194458008,36.0,0
