t_s,pos_deg,vel_rps,tau_cmd,rotor_phase,fault
0.0903,0.005,0.0005439519300125539,1.651,0.3121,0
0.0913,0.005,0.0006658306811004877,1.655,0.3121,0
0.0923,0.005,0.0005996574182063341,1.575,0.3121,0
0.0935,0.005,0.0006387735484167933,1.465,0.3121,0
0.0944,0.005,0.0007626111037097871,1.367,0.3121,0
0.0954,0.005,0.0006928875227458775,1.189,0.3121,0
0.0964,0.005,0.0007002333295531571,1.007,0.3121,0
0.0973,0.005,0.0006450787768699229,0.792,0.3121,0
0.0983,0.005,0.0005345249082893133,0.549,0.3121,0
0.0993,0.005,0.0004060962237417698,0.285,0.3121,0
0.1003,0.005,0.0002960319980047643,0.02,0.3121,0
0.1013,0.005,0.00021020887652412057,-0.239,0.3121,0
0.1023,0.005,0.0001463006337871775,-0.486,0.3121,0
0.1036,0.005,9.298254735767841e-05,-0.776,0.3121,0
0.1047,0.005,6.072235191822983e-05,-0.985,0.3121,0
0.1057,0.005,4.1072398744290695e-05,-1.156,0.3121,0
0.1067,0.005,2.772757397906389e-05,-1.289,0.3121,0
0.1076,0.005,-8.858052751747891e-05,-1.423,0.3121,0
0.1086,0.005,-0.00026757255545817316,-1.539,0.3121,0
0.1096,0.005,-0.0005265724030323327,-1.645,0.3121,0
0.1106,0.005,-0.0007946931873448193,-1.717,0.3121,0
0.1116,0.005,-0.0007976315100677311,-1.676,0.3121,0
0.1126,0.0,-0.0009350586333312094,-1.636,0.3114,0
0.1136,0.0,-0.0009543413179926574,-1.529,0.3114,0
0.1146,0.0,-0.001098808366805315,-1.429,0.3114,0
0.1156,0.0,-0.0010689967311918736,-1.252,0.3114,0
0.1166,0.0,-0.0009057980496436357,-1.016,0.3114,0
0.1176,0.0,-0.0006979125319048762,-0.745,0.3114,0
0.1186,0.0,-0.0005129826604388654,-0.469,0.3114,0
0.1196,0.0,-0.0003663119859993458,-0.197,0.3114,0
0.1206,0.0,-0.0002563702000770718,0.069,0.3114,0
0.1216,0.0,-0.0001768521760823205,0.324,0.3114,0
0.1226,0.0,-0.00012090185191482306,0.561,0.3114,0
0.1236,0.0,2.4911794753279537e-05,0.815,0.3114,0
0.1246,0.0,0.00032412970904260874,1.086,0.3114,0
0.1256,0.0,0.0006082887994125485,1.327,0.3114,0
0.1266,0.005,0.0007661617128178477,1.505,0.3121,0
0.1276,0.005,0.0007357991999015212,1.603,0.3121,0
0.1286,0.005,0.0007898517651483417,1.687,0.3121,0
0.1296,0.005,0.0008185003534890711,1.727,0.3121,0
0.1306,0.005,0.0008958146790973842,1.745,0.3121,0
0.1316,0.005,0.0008508218452334404,1.691,0.3121,0
0.1326,0.005,0.0008234587730839849,1.606,0.3121,0
0.1336,0.005,0.0007540411315858364,1.476,0.3121,0
0.1346,0.005,0.000908547081053257,1.377,0.3121,0
0.1357,0.005,0.0009922276949509978,1.222,0.3121,0
0.1367,0.005,0.0009624772937968373,1.016,0.3121,0
0.1377,0.005,0.0009512750548310578,0.796,0.3121,0
0.1387,0.005,0.0008326408569701016,0.535,0.3121,0
0.1397,0.005,0.0006564034265466034,0.249,0.3121,0
0.1505,0.005,0.0004892870783805847,-1.357,0.3121,0
0.1527,0.005,-6.666571425739676e-05,-1.391,0.3121,0
0.1538,0.005,-3.287514846306294e-05,-1.243,0.3121,0
0.155,0.005,-8.062269625952467e-05,-1.085,0.3121,0
0.1572,0.005,-0.0006544500938616693,-0.826,0.3121,0
0.1619,0.005,-0.0009662783122621477,0.166,0.3121,0
0.1753,0.005,-0.0004070812137797475,0.895,0.3121,0
0.1802,0.005,2.3687325665378012e-05,-0.038,0.3121,0
0.1822,0.005,1.2974738638149574e-05,-0.496,0.3121,0
0.1834,0.005,5.812607469124487e-06,-0.755,0.3121,0
0.1845,0.005,2.996726379933534e-06,-0.967,0.3121,0
0.1855,0.005,1.160282636192278e-06,-1.134,0.3121,0
0.1877,0.005,-2.4765773787294165e-07,-1.406,0.3121,0
0.1891,0.005,-2.267746367579093e-06,-1.486,0.3121,0
