t_s,kp,kd,dir,setpoint,mode,position_rev_out,velocity_rps_out,torque_Nm_out,q_current_A,d_current_A,bus_voltage_V,power_W,bus_current_A_derived,fet_temp_C,motor_temp_C,fault,orbis_position_rev_out,orbis_velocity_rps_out,encoder_validity
0.0,1000,20,1,7.255859381250048,0,7.255859375,1.3206372386775911e-05,0.0,-0.8939411640167236,0.20798832178115845,23.5,0.0,0.0,33.0,nan,0,0.7935790419578552,0.000660318648442626,nan
0.021,1000,20,1,7.256911654199939,10,7.255859375,1.3206372386775911e-05,0.06023479625582695,0.0,0.0,23.5,0.0,0.0,33.0,nan,0,0.7935790419578552,0.000660318648442626,nan
0.04,1000,20,1,7.2578637270999025,10,7.255859375,1.3206372386775911e-05,0.5444434881210327,0.13013361394405365,0.1709476113319397,23.5,-0.021612374112010002,-0.0009196754941280852,33.0,nan,0,0.7935790419578552,0.000660318648442626,nan
0.061,1000,20,1,7.258911566700408,10,7.255859375,0.00035068357829004526,0.4942705035209656,0.0,0.0,23.5,0.0,0.0,33.0,nan,0,0.7936596274375916,0.06534779071807861,nan
0.081,1000,20,1,7.259914181250497,10,7.255859375,-1.3136509551259223e-05,0.8177418112754822,0.16004453599452972,-0.018695995211601257,23.5,0.04539740830659866,0.0019318046087914325,33.0,nan,0,0.793701171875,-0.000656825490295887,nan
0.101,1000,20,1,7.260916729200107,10,7.2558746337890625,0.0004383226332720369,1.3678423166275024,0.26770758628845215,-0.021313399076461792,23.5,0.10752366483211517,0.004575475099238943,33.0,nan,0,0.7941199541091919,0.033997002989053726,nan
0.121,1000,20,1,7.261913120849931,10,7.255889892578125,0.002159805502742529,1.9411202669143677,0.3799409568309784,-0.07521937787532806,23.5,0.2330458164215088,0.009916843251979097,33.0,nan,0,0.7955588102340698,0.15444131195545197,nan
0.141,1000,20,1,7.262912402100483,10,7.2559661865234375,0.004551019985228777,2.8986382484436035,0.6168199181556702,0.05674475058913231,23.5,0.4544382095336914,0.019337796150369846,33.0,nan,0,0.7994059920310974,0.20500676333904266,nan
0.161,1000,20,1,7.263913272950594,10,7.25616455078125,0.011753429658710957,4.143214225769043,0.7268967032432556,-0.1685219705104828,23.5,0.617502748966217,0.02627671272196668,33.0,nan,0,0.8088839054107666,0.6481198072433472,nan
0.181,1000,20,1,7.2649141146001055,10,7.2563629150390625,0.00698072137311101,4.632901191711426,0.9921583533287048,0.07161758840084076,23.5,0.6350857615470886,0.02702492602328037,33.0,nan,0,0.8191975951194763,0.25687718391418457,nan
0.201,1000,20,1,7.2659127854502,10,7.2564697265625,0.0045240893959999084,5.931031703948975,1.1607933044433594,0.07456661760807037,23.5,0.8443209528923035,0.03592855118690653,33.0,nan,0,0.8241220712661743,0.2146846204996109,nan
0.221,1000,20,1,7.266917566700431,10,7.2566070556640625,0.0107365557923913,5.476194858551025,1.0717748403549194,-0.04857335984706879,23.5,1.721449851989746,0.07325318519105302,33.0,nan,0,0.8315075039863586,0.7062016129493713,nan
0.241,1000,20,1,7.267912770849944,10,7.25732421875,0.04859597980976105,6.541251182556152,1.2802226543426514,-0.1599893420934677,23.5,3.164320707321167,0.13465194499239008,33.0,nan,0,0.8672739863395691,2.7440226078033447,nan
0.261,1000,20,1,7.268890947950422,10,7.25836181640625,0.03863159939646721,7.373466491699219,1.4430997371673584,0.05672147870063782,23.5,2.6994972229003906,0.11487222225108046,33.0,nan,0,0.9192076325416565,1.509474277496338,nan
