t_s,leg,tgt_deg,pos_deg,vel_rps,torque_Nm,iq_A,bus_V,fet_C,fault
0.001,1,80.0,0.0,-9.524355846224353e-06,0.0,-0.7308002710342407,23.61825180053711,36.0,0
0.007,1,80.0,0.0,-9.524355846224353e-06,0.0,-0.051253657788038254,23.61825180053711,36.0,0
0.012,1,80.0,0.0,-9.524355846224353e-06,0.0,-0.15376099944114685,23.61825180053711,36.0,0
0.017,1,80.0,0.0,-9.524355846224353e-06,0.0,-0.1025073230266571,23.636198043823242,36.0,0
0.022,1,80.0,0.0,-9.524355846224353e-06,0.4638824462890625,0.09078887104988098,23.61825180053711,36.0,0
0.027,1,80.0,0.0,-9.524355846224353e-06,-0.14212875068187714,-0.027816765010356903,23.636198043823242,36.0,0
0.032,1,80.0,0.0,-9.524355846224353e-06,0.5237574577331543,0.1025073230266571,23.61825180053711,36.0,0
0.037,1,80.0,0.0,-9.524355846224353e-06,1.1297688484191895,0.22111296653747559,23.61825180053711,36.0,0
0.042,1,80.0,0.0,-9.524355846224353e-06,0.4040074944496155,0.07907042652368546,23.61825180053711,36.0,0
0.047,1,80.0,0.0,-9.524355846224353e-06,0.845511257648468,0.16547945141792297,23.61825180053711,36.0,0
0.052,1,80.0,0.0,0.00020074845815543085,0.9878758192062378,0.19334235787391663,23.636198043823242,36.0,0
0.057,1,80.0,0.0,7.984929834492505e-05,1.4512587785720825,0.28403347730636597,23.636198043823242,36.0,0
0.062,1,80.0,0.0,8.656491445435677e-06,1.2502397298812866,0.24469098448753357,23.61825180053711,36.0,0
0.067,1,80.0,0.0,-5.300481916492572e-06,1.3900386095046997,0.27205175161361694,23.61825180053711,36.0,0
0.072,1,80.0,0.0,-9.279435289499816e-06,1.9146289825439453,0.37472209334373474,23.61825180053711,36.0,0
0.077,1,80.0,0.0,-9.524294000584632e-06,2.4392175674438477,0.4773920774459839,23.636198043823242,36.0,0
0.082,1,80.0,0.0,0.00019358638382982463,2.3769562244415283,0.4652065932750702,23.636198043823242,36.0,0
0.087,1,80.0,0.0,0.00031228194711729884,2.6381609439849854,0.5163283348083496,23.61825180053711,36.0,0
0.092,1,80.0,0.0,0.0005262890481390059,2.7706515789031982,0.5422587394714355,23.636198043823242,36.0,0
0.097,1,80.0,0.0,0.001006519072689116,3.840543270111084,0.7516528964042664,23.61825180053711,36.0,0
0.102,1,80.0,0.0055,0.0013023701030761003,3.3986470699310303,0.6651670932769775,23.636198043823242,36.0,0
0.107,1,80.0,0.0055,0.001543250516988337,4.042266845703125,0.7911332845687866,23.636198043823242,36.0,0
0.112,1,80.0,0.0165,0.003052623476833105,4.199901103973389,0.8219847083091736,23.61825180053711,36.0,0
0.117,1,80.0,0.022,0.004427813924849033,3.974343776702881,0.7778396606445312,23.636198043823242,36.0,0
0.122,1,80.0,0.033,0.006119974888861179,4.580526828765869,0.8964788913726807,23.636198043823242,36.0,0
0.127,1,80.0,0.0494,0.006764872465282679,3.8317956924438477,0.749940812587738,23.636198043823242,36.0,0
0.132,1,80.0,0.0604,0.00622483529150486,4.494860649108887,0.8797127604484558,23.636198043823242,36.0,0
0.137,1,80.0,0.0714,0.007168952841311693,5.22708797454834,1.0230207443237305,23.61825180053711,36.0,0
0.142,1,80.0,0.0879,0.008837545290589333,4.818903923034668,0.9431329965591431,23.61825180053711,36.0,0
0.147,1,80.0,0.1044,0.009647785685956478,5.235853672027588,1.0247364044189453,23.636198043823242,36.0,0
0.152,1,80.0,0.1208,0.008914311416447163,5.120154857635498,1.0020923614501953,23.61825180053711,36.0,0
0.157,1,80.0,0.1373,0.009775543585419655,5.140861511230469,1.0061450004577637,23.61825180053711,36.0,0
0.162,1,80.0,0.1593,0.01179140992462635,5.009434223175049,0.9804226756095886,23.61825180053711,36.0,0
0.167,1,80.0,0.1868,0.013475431129336357,4.312117576599121,0.8439471125602722,23.636198043823242,36.0,0
0.172,1,80.0,0.2142,0.013883249834179878,5.233750343322754,1.024324655532837,23.636198043823242,36.0,0
0.177,1,80.0,0.2417,0.015130319632589817,4.0384697914123535,0.790390133857727,23.61825180053711,36.0,0
0.182,1,80.0,0.2692,0.016962844878435135,4.4120588302612305,0.8635071516036987,23.61825180053711,36.0,0
0.187,1,80.0,0.3076,0.018376661464571953,4.581634044647217,0.896695613861084,23.636198043823242,36.0,0
0.192,1,80.0,0.3406,0.01863052137196064,4.286529064178467,0.8389391303062439,23.636198043823242,36.0,0
0.197,1,80.0,0.3735,0.018251847475767136,3.1138854026794434,0.6094348430633545,23.61825180053711,36.0,0
0.202,1,80.0,0.401,0.016273202374577522,5.475833415985107,1.0717041492462158,23.636198043823242,36.0,0
0.207,1,80.0,0.423,0.012680928222835064,6.440360069274902,1.2604767084121704,23.636198043823242,36.0,0
0.212,1,80.0,0.4395,0.009765757247805595,6.968642711639404,1.3638696670532227,23.636198043823242,36.0,0
0.217,1,80.0,0.4504,0.007022905629128218,6.380678176879883,1.248795986175537,23.61825180053711,36.0,0
0.222,1,80.0,0.4669,0.00953613966703415,7.1337127685546875,1.3961763381958008,23.61825180053711,36.0,0
0.227,1,80.0,0.4999,0.017289670184254646,7.221732139587402,1.413403034210205,23.636198043823242,36.0,0
0.232,1,80.0,0.5383,0.01970239169895649,5.224942207336426,1.0226008892059326,23.636198043823242,36.0,0
0.237,1,80.0,0.5713,0.019092325121164322,6.658168315887451,1.2664299011230469,23.61825180053711,36.0,0
0.242,1,80.0,0.6207,0.025198200717568398,5.405426025390625,1.0579242706298828,23.636198043823242,36.0,0
0.247,1,80.0,0.6702,0.026601742953062057,5.08246374130249,0.9947156310081482,23.636198043823242,36.0,0
0.252,1,80.0,0.7141,0.026216279715299606,5.570333957672119,1.0901992321014404,23.61825180053711,36.0,0
0.257,1,80.0,0.769,0.02781274914741516,4.508264064788818,0.8823360204696655,23.61825180053711,36.0,0
0.262,1,80.0,0.824,0.030795134603977203,4.260061264038086,0.8337589502334595,23.636198043823242,36.0,0
0.267,1,80.0,0.8789,0.031400665640830994,3.8301684856414795,0.7496223449707031,23.636198043823242,36.0,0
0.272,1,80.0,0.9338,0.029882291331887245,4.258517742156982,0.8334568738937378,23.636198043823242,36.0,0
0.277,1,80.0,0.9833,0.02684316411614418,5.984335899353027,1.1712257862091064,23.61825180053711,36.0,0
0.282,1,80.0,1.0162,0.022385379299521446,6.455660820007324,1.263471245765686,23.61825180053711,36.0,0
0.287,1,80.0,1.0492,0.0193425752222538,7.776739597320557,1.522026538848877,23.61825180053711,36.0,0
0.292,1,80.0,1.0931,0.022458961233496666,5.554624080657959,1.0871245861053467,23.61825180053711,36.0,0
0.297,1,80.0,1.1536,0.02966308780014515,5.071176052093506,0.9925064444541931,23.636198043823242,36.0,0
0.302,1,80.0,1.203,0.027982493862509727,5.3425421714782715,1.0456169843673706,23.61825180053711,36.0,0
0.307,1,80.0,1.2524,0.028491249307990074,5.566921234130859,1.0895313024520874,23.61825180053711,36.0,0
0.312,1,80.0,1.3074,0.030922945588827133,4.740826606750488,0.9278520345687866,23.61825180053711,36.0,0
0.317,1,80.0,1.3678,0.032058656215667725,5.21319055557251,1.0203008651733398,23.636198043823242,36.0,0
